Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0178284927	30.0080285	30.0080285	30.0080285	30.0080285	0	0	0	0	0	0	3
2	2	0	0.0356569855	30.0095413	30.0087849	30.0080285	30.0095413	0.000756421163	0	0	0	0	0	3
3	2	0	0.0534854782	30.0103206	30.0092968	30.0080285	30.0103206	0.00126831515	0	0	0	0	0	3
4	2	0	0.0713139709	30.0111657	30.009764	30.0080285	30.0111657	0.00173553905	0	0	0	0	0	3
5	2	0	0.0891424637	30.0122181	30.0102548	30.0080285	30.0122181	0.00222635353	0	0	0	0	0	3
6	3	0	0.106970956	30.013997	30.0108785	30.0080285	30.013997	0.00285004537	0	0	0	0	0	3
7	3	0	0.124799449	30.0161305	30.0116288	30.0080285	30.0161305	0.00360032217	0	0	0	0	0	3
8	3	0	0.142627942	30.0181926	30.0124493	30.0080285	30.0181926	0.00442079202	0	0	0	0	0	3
9	3	0	0.160456435	30.0202787	30.0133192	30.0080285	30.0202787	0.00529073163	0	0	0	0	0	3
10	3	0	0.178284927	30.0222538	30.0142127	30.0080285	30.0222538	0.00618418865	0	0	0	0	0	3
11	3	0	0.19611342	30.0248335	30.0151782	30.0080285	30.0248335	0.00714972274	0	0	0	0	0	3
12	4	0	0.213941913	30.0273354	30.0161913	30.0080285	30.0273354	0.00816282213	0	0	0	0	0	3
13	4	0	0.231770406	30.0298467	30.0172417	30.0080285	30.0298467	0.00921323532	0	0	0	0	0	3
14	4	0	0.249598898	30.0324199	30.0183259	30.0080285	30.0324199	0.0102973932	0	0	0	0	0	3
15	4	0	0.267427391	30.0350218	30.0194389	30.0080285	30.0350218	0.0114104572	0	0	0	0	0	3
16	4	0	0.285255884	30.0393805	30.0206853	30.0080285	30.0393805	0.0126568074	0	0	0	0	0	3
17	4	0	0.303084376	30.0439452	30.0220535	30.0080285	30.0439452	0.0140250394	0	0	0	0	0	3
18	5	0	0.320912869	30.0489318	30.0235468	30.0080285	30.0489318	0.015518277	0	0	0	0	0	3
19	5	0	0.338741362	30.0541292	30.0251564	30.0080285	30.0541292	0.0171278802	0	0	0	0	0	3
20	5	0	0.356569855	30.0597748	30.0268873	30.0080285	30.0597748	0.0188588017	0	0	0	0	0	3
21	5	0	0.374398347	30.0685881	30.028873	30.0080285	30.0685881	0.0208445525	0	0	0	0	0	3
22	5	0	0.39222684	30.0782805	30.0311188	30.0080285	30.0782805	0.0230903466	0	0	0	0	0	3
23	5	0	0.410055333	30.0883123	30.0336055	30.0080285	30.0883123	0.025577021	0	0	0	0	0	3
24	5	0	0.427883826	30.0988649	30.0363246	30.0080285	30.0988649	0.0282961631	0	0	0	0	0	3
25	6	0	0.445712318	30.1093945	30.0392474	30.0080285	30.1093945	0.0312189592	0	0	0	0	0	3
26	6	0	0.463540811	30.1247866	30.0425374	30.0080285	30.1247866	0.0345089266	0	0	0	0	0	3
27	6	0	0.481369304	30.1386894	30.0460986	30.0080285	30.1386894	0.0380701117	0	0	0	0	0	3
28	6	0	0.499197796	30.150788	30.0498375	30.0080285	30.150788	0.0418090188	0	0	0	0	0	3
29	6	0	0.517026289	30.1606876	30.0536599	30.0080285	30.1606876	0.0456314362	0	0	0	0	0	3
30	6	0	0.534854782	30.1683578	30.0591885	30.0095413	30.1683578	0.050403611	0	0	0	0	0	3
31	7	0	0.552683275	30.1755135	30.0649117	30.0103206	30.1755135	0.055614895	0	0	0	0	0	3
32	7	0	0.570511767	30.1792538	30.070737	30.0111657	30.1792538	0.0609729541	0	0	0	0	0	3
33	7	0	0.58834026	30.1806362	30.0765808	30.0122181	30.1806362	0.0663259498	0	0	0	0	0	3
34	7	0	0.606168753	30.1805913	30.0823868	30.013997	30.1806362	0.0715082314	0	0	0	0	0	3
35	7	0	0.623997246	30.1798416	30.0881055	30.0161305	30.1806362	0.0764767343	0	0	0	0	0	3
36	8	0	0.641825738	30.1785515	30.0937063	30.0181926	30.1806362	0.0812569911	0	0	0	0	0	3
37	8	0	0.659654231	30.1775862	30.0992026	30.0202787	30.1806362	0.0858833824	0	0	0	0	0	3
38	8	0	0.677482724	30.1767936	30.1045997	30.0222538	30.1806362	0.0903869894	0	0	0	0	0	3
39	8	0	0.695311217	30.1761626	30.1099069	30.0248335	30.1806362	0.0947286563	0	0	0	0	0	3
40	8	0	0.713139709	30.1758691	30.115115	30.0273354	30.1806362	0.0989236809	0	0	0	0	0	3
41	9	0	0.730968202	30.1761419	30.1202462	30.0298467	30.1806362	0.103004528	0	0	0	0	0	3
42	9	0	0.748796695	30.176261	30.125295	30.0324199	30.1806362	0.10696914	0	0	0	0	0	3
43	9	0	0.766625187	30.1760449	30.1302476	30.0350218	30.1806362	0.110808662	0	0	0	0	0	3
44	9	0	0.78445368	30.1758799	30.1351048	30.0393805	30.1806362	0.114419486	0	0	0	0	0	3
45	9	0	0.802282173	30.1757433	30.1398069	30.0439452	30.1806362	0.117753418	0	0	0	0	0	3
46	10	0	0.820110666	30.1757421	30.1443517	30.0489318	30.1806362	0.120804899	0	0	0	0	0	3
