Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0178284927	-130.252404	-130.252404	-130.252404	-130.252404	0	0	0	0	0	0	3
2	2	0	0.0356569855	-28.0383948	-79.1453992	-130.252404	-28.0383948	51.1070044	0	0	0	0	0	3
3	2	0	0.0534854782	-13.721691	-57.3374965	-130.252404	-13.721691	72.9149072	0	0	0	0	0	3
4	2	0	0.0713139709	-8.25376474	-45.0665635	-130.252404	-8.25376474	85.1858401	0	0	0	0	0	3
5	2	0	0.0891424637	-7.91961285	-37.6371734	-130.252404	-7.91961285	92.6152303	0	0	0	0	0	3
6	3	0	0.106970956	-6.7345026	-32.4867283	-130.252404	-6.7345026	97.7656754	0	0	0	0	0	3
7	3	0	0.124799449	-7.65426995	-28.9392342	-130.252404	-6.7345026	101.313169	0	0	0	0	0	3
8	3	0	0.142627942	-6.89251849	-26.1833948	-130.252404	-6.7345026	104.069009	0	0	0	0	0	3
9	3	0	0.160456435	-7.95315536	-24.1578126	-130.252404	-6.7345026	106.094591	0	0	0	0	0	3
10	3	0	0.178284927	-6.96476599	-22.4385079	-130.252404	-6.7345026	107.813896	0	0	0	0	0	3
11	3	0	0.19611342	-7.88640311	-21.1155893	-130.252404	-6.7345026	109.136814	0	0	0	0	0	3
12	4	0	0.213941913	-6.86548709	-19.9280808	-130.252404	-6.7345026	110.324323	0	0	0	0	0	3
13	4	0	0.231770406	-7.73322368	-18.9900149	-130.252404	-6.7345026	111.262389	0	0	0	0	0	3
14	4	0	0.249598898	-6.90663543	-18.1269163	-130.252404	-6.7345026	112.125487	0	0	0	0	0	3
15	4	0	0.267427391	-7.49260157	-17.417962	-130.252404	-6.7345026	112.834442	0	0	0	0	0	3
16	4	0	0.285255884	-6.97199088	-16.7650888	-130.252404	-6.7345026	113.487315	0	0	0	0	0	3
17	4	0	0.303084376	-7.25412672	-16.2056205	-130.252404	-6.7345026	114.046783	0	0	0	0	0	3
18	5	0	0.320912869	-6.89876493	-15.6885729	-130.252404	-6.7345026	114.563831	0	0	0	0	0	3
19	5	0	0.338741362	-7.04245899	-15.2335143	-130.252404	-6.7345026	115.018889	0	0	0	0	0	3
20	5	0	0.356569855	-6.75522461	-14.8095998	-130.252404	-6.7345026	115.442804	0	0	0	0	0	3
21	5	0	0.374398347	-6.81865964	-14.4290789	-130.252404	-6.7345026	115.823325	0	0	0	0	0	3
22	5	0	0.39222684	-6.66978938	-14.0763839	-130.252404	-6.66978938	116.17602	0	0	0	0	0	3
23	5	0	0.410055333	-6.6531668	-13.7536353	-130.252404	-6.6531668	116.498768	0	0	0	0	0	3
24	5	0	0.427883826	-6.57015062	-13.4543235	-130.252404	-6.57015062	116.79808	0	0	0	0	0	3
25	6	0	0.445712318	-6.54611685	-13.1779952	-130.252404	-6.54611685	117.074408	0	0	0	0	0	3
