Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0178284927	-165.254154	-165.254154	-165.254154	-165.254154	0	0	0	0	0	0	3
2	2	0	0.0356569855	-27.0649069	-96.1595306	-165.254154	-27.0649069	69.0946237	0	0	0	0	0	3
3	2	0	0.0534854782	-11.0392212	-67.7860941	-165.254154	-11.0392212	97.4680602	0	0	0	0	0	3
4	2	0	0.0713139709	-6.01569817	-52.3434951	-165.254154	-6.01569817	112.910659	0	0	0	0	0	3
5	2	0	0.0891424637	-6.67542776	-43.2098817	-165.254154	-6.01569817	122.044273	0	0	0	0	0	3
6	3	0	0.106970956	-5.78904401	-36.9730754	-165.254154	-5.78904401	128.281079	0	0	0	0	0	3
7	3	0	0.124799449	-6.58500348	-32.6319223	-165.254154	-5.78904401	132.622232	0	0	0	0	0	3
8	3	0	0.142627942	-6.08444154	-29.3134872	-165.254154	-5.78904401	135.940667	0	0	0	0	0	3
9	3	0	0.160456435	-6.50678075	-26.7794087	-165.254154	-5.78904401	138.474746	0	0	0	0	0	3
10	3	0	0.178284927	-6.12461944	-24.7139298	-165.254154	-5.78904401	140.540225	0	0	0	0	0	3
11	3	0	0.19611342	-6.32552962	-23.042257	-165.254154	-5.78904401	142.211897	0	0	0	0	0	3
12	4	0	0.213941913	-6.11378592	-21.6315511	-165.254154	-5.78904401	143.622603	0	0	0	0	0	3
13	4	0	0.231770406	-6.24686805	-20.4481139	-165.254154	-5.78904401	144.80604	0	0	0	0	0	3
14	4	0	0.249598898	-6.13069586	-19.4254412	-165.254154	-5.78904401	145.828713	0	0	0	0	0	3
15	4	0	0.267427391	-6.17551089	-18.5421125	-165.254154	-5.78904401	146.712042	0	0	0	0	0	3
16	4	0	0.285255884	-6.13846392	-17.7668845	-165.254154	-5.78904401	147.48727	0	0	0	0	0	3
17	4	0	0.303084376	-6.09586841	-17.0803541	-165.254154	-5.78904401	148.1738	0	0	0	0	0	3
18	5	0	0.320912869	-6.03545696	-16.4667487	-165.254154	-5.78904401	148.787406	0	0	0	0	0	3
19	5	0	0.338741362	-5.9828852	-15.9149664	-165.254154	-5.78904401	149.339188	0	0	0	0	0	3
20	5	0	0.356569855	-5.93599789	-15.416018	-165.254154	-5.78904401	149.838136	0	0	0	0	0	3
21	5	0	0.374398347	-5.90968327	-14.9633354	-165.254154	-5.78904401	150.290819	0	0	0	0	0	3
22	5	0	0.39222684	-5.86211985	-14.5496438	-165.254154	-5.78904401	150.704511	0	0	0	0	0	3
23	5	0	0.410055333	-5.82218092	-14.1701889	-165.254154	-5.78904401	151.083965	0	0	0	0	0	3
24	5	0	0.427883826	-5.77690084	-13.8204685	-165.254154	-5.77690084	151.433686	0	0	0	0	0	3
25	6	0	0.445712318	-5.74313901	-13.4973754	-165.254154	-5.74313901	151.756779	0	0	0	0	0	3
26	6	0	0.463540811	-5.72921503	-13.1986	-165.254154	-5.72921503	152.055554	0	0	0	0	0	3
27	6	0	0.481369304	-5.69808267	-12.920803	-165.254154	-5.69808267	152.333351	0	0	0	0	0	3
28	6	0	0.499197796	-5.66519197	-12.6616741	-165.254154	-5.66519197	152.59248	0	0	0	0	0	3
29	6	0	0.517026289	-5.63866449	-12.4195013	-165.254154	-5.63866449	152.834653	0	0	0	0	0	3
30	6	0	0.534854782	-5.60892083	-6.91449327	-27.0649069	-5.60892083	21.4559861	0	0	0	0	0	3
31	7	0	0.552683275	-5.59610945	-6.17418991	-11.0392212	-5.59610945	5.44311171	0	0	0	0	0	3
32	7	0	0.570511767	-5.57453891	-5.98575259	-6.67542776	-5.57453891	1.10088884	0	0	0	0	0	3
33	7	0	0.58834026	-5.56001465	-5.97003937	-6.67542776	-5.56001465	1.1154131	0	0	0	0	0	3
34	7	0	0.606168753	-5.54468527	-5.93104825	-6.58500348	-5.54468527	1.04031821	0	0	0	0	0	3
