Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0178284927	210.415484	210.415484	210.415484	210.415484	0	0	0	0	0	0	3
2	2	0	0.0356569855	38.9731369	124.69431	38.9731369	210.415484	85.7211736	0	0	0	0	0	3
3	2	0	0.0534854782	17.6240699	89.0042303	17.6240699	210.415484	121.411254	0	0	0	0	0	3
4	2	0	0.0713139709	10.2448343	69.3143813	10.2448343	210.415484	141.101103	0	0	0	0	0	3
5	2	0	0.0891424637	10.3922525	57.5299555	10.2448343	210.415484	152.885529	0	0	0	0	0	3
6	3	0	0.106970956	8.90767409	49.426242	8.90767409	210.415484	160.989242	0	0	0	0	0	3
7	3	0	0.124799449	10.1130645	43.8100737	8.90767409	210.415484	166.60541	0	0	0	0	0	3
8	3	0	0.142627942	9.20801754	39.4848167	8.90767409	210.415484	170.930667	0	0	0	0	0	3
9	3	0	0.160456435	10.2863952	36.2405477	8.90767409	210.415484	174.174936	0	0	0	0	0	3
10	3	0	0.178284927	9.2871925	33.5452121	8.90767409	210.415484	176.870272	0	0	0	0	0	3
11	3	0	0.19611342	10.116651	31.4153429	8.90767409	210.415484	179.000141	0	0	0	0	0	3
12	4	0	0.213941913	9.19827596	29.5639207	8.90767409	210.415484	180.851563	0	0	0	0	0	3
13	4	0	0.231770406	9.9465254	28.0548903	8.90767409	210.415484	182.360594	0	0	0	0	0	3
14	4	0	0.249598898	9.24211026	26.7111203	8.90767409	210.415484	183.704364	0	0	0	0	0	3
15	4	0	0.267427391	9.71622247	25.5781271	8.90767409	210.415484	184.837357	0	0	0	0	0	3
16	4	0	0.285255884	9.29416449	24.5603794	8.90767409	210.415484	185.855105	0	0	0	0	0	3
17	4	0	0.303084376	9.47947304	23.6732673	8.90767409	210.415484	186.742217	0	0	0	0	0	3
18	5	0	0.320912869	9.17107601	22.86759	8.90767409	210.415484	187.547894	0	0	0	0	0	3
19	5	0	0.338741362	9.24563788	22.1506452	8.90767409	210.415484	188.264839	0	0	0	0	0	3
20	5	0	0.356569855	8.9975637	21.4929911	8.90767409	210.415484	188.922493	0	0	0	0	0	3
21	5	0	0.374398347	9.02623143	20.8993359	8.90767409	210.415484	189.516148	0	0	0	0	0	3
22	5	0	0.39222684	8.88234763	20.3531091	8.88234763	210.415484	190.062375	0	0	0	0	0	3
23	5	0	0.410055333	8.84294434	19.8526672	8.84294434	210.415484	190.562817	0	0	0	0	0	3
24	5	0	0.427883826	8.75101127	19.3900982	8.75101127	210.415484	191.025386	0	0	0	0	0	3
25	6	0	0.445712318	8.71048949	18.9629138	8.71048949	210.415484	191.45257	0	0	0	0	0	3
26	6	0	0.463540811	8.66548739	18.566859	8.66548739	210.415484	191.848625	0	0	0	0	0	3
27	6	0	0.481369304	8.62826625	18.1987629	8.62826625	210.415484	192.216721	0	0	0	0	0	3
28	6	0	0.499197796	8.57348604	17.8550031	8.57348604	210.415484	192.560481	0	0	0	0	0	3
29	6	0	0.517026289	8.52767278	17.533371	8.52767278	210.415484	192.882113	0	0	0	0	0	3
30	6	0	0.534854782	8.48699372	10.5703196	8.48699372	38.9731369	30.4861432	0	0	0	0	0	3
31	7	0	0.552683275	8.46230482	9.51822193	8.46230482	17.6240699	9.16176505	0	0	0	0	0	3
32	7	0	0.570511767	8.42603396	9.20104827	8.42603396	10.3922525	1.96621851	0	0	0	0	0	3
33	7	0	0.58834026	8.4033113	9.13754748	8.4033113	10.3922525	1.98894118	0	0	0	0	0	3
34	7	0	0.606168753	8.37299591	9.06791794	8.37299591	10.2863952	1.91339928	0	0	0	0	0	3
35	7	0	0.623997246	8.36775786	9.04930014	8.36775786	10.2863952	1.91863733	0	0	0	0	0	3
36	8	0	0.641825738	8.33052383	8.98783322	8.33052383	10.2863952	1.95587136	0	0	0	0	0	3
37	8	0	0.659654231	8.3119325	8.95693374	8.3119325	10.2863952	1.97446269	0	0	0	0	0	3
38	8	0	0.677482724	8.26580207	8.88725811	8.26580207	10.116651	1.85084891	0	0	0	0	0	3
39	8	0	0.695311217	8.24477934	8.85131283	8.24477934	10.116651	1.87187164	0	0	0	0	0	3
