Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0178284927	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0356569855	0	0	0	0	0	0	0	0	0	0	3
3	2	0	0.0534854782	0	0	0	0	0	0	0	0	0	0	3
4	2	0	0.0713139709	0	0	0	0	0	0	0	0	0	0	3
5	2	0	0.0891424637	0	0	0	0	0	0	0	0	0	0	3
6	3	0	0.106970956	0	0	0	0	0	0	0	0	0	0	3
7	3	0	0.124799449	0	0	0	0	0	0	0	0	0	0	3
8	3	0	0.142627942	0	0	0	0	0	0	0	0	0	0	3
9	3	0	0.160456435	0	0	0	0	0	0	0	0	0	0	3
10	3	0	0.178284927	0	0	0	0	0	0	0	0	0	0	3
11	3	0	0.19611342	0	0	0	0	0	0	0	0	0	0	3
12	4	0	0.213941913	0	0	0	0	0	0	0	0	0	0	3
13	4	0	0.231770406	0	0	0	0	0	0	0	0	0	0	3
14	4	0	0.249598898	0	0	0	0	0	0	0	0	0	0	3
15	4	0	0.267427391	0	0	0	0	0	0	0	0	0	0	3
16	4	0	0.285255884	0	0	0	0	0	0	0	0	0	0	3
17	4	0	0.303084376	0	0	0	0	0	0	0	0	0	0	3
18	5	0	0.320912869	0	0	0	0	0	0	0	0	0	0	3
19	5	0	0.338741362	0	0	0	0	0	0	0	0	0	0	3
20	5	0	0.356569855	0	0	0	0	0	0	0	0	0	0	3
21	5	0	0.374398347	0	0	0	0	0	0	0	0	0	0	3
22	5	0	0.39222684	0	0	0	0	0	0	0	0	0	0	3
23	5	0	0.410055333	0	0	0	0	0	0	0	0	0	0	3
24	5	0	0.427883826	0	0	0	0	0	0	0	0	0	0	3
25	6	0	0.445712318	0	0	0	0	0	0	0	0	0	0	3
26	6	0	0.463540811	0	0	0	0	0	0	0	0	0	0	3
27	6	0	0.481369304	0	0	0	0	0	0	0	0	0	0	3
28	6	0	0.499197796	0	0	0	0	0	0	0	0	0	0	3
29	6	0	0.517026289	0	0	0	0	0	0	0	0	0	0	3
30	6	0	0.534854782	0	0	0	0	0	0	0	0	0	0	3
31	7	0	0.552683275	0	0	0	0	0	0	0	0	0	0	3
32	7	0	0.570511767	0	0	0	0	0	0	0	0	0	0	3
33	7	0	0.58834026	0	0	0	0	0	0	0	0	0	0	3
34	7	0	0.606168753	0	0	0	0	0	0	0	0	0	0	3
35	7	0	0.623997246	0	0	0	0	0	0	0	0	0	0	3
36	8	0	0.641825738	0	0	0	0	0	0	0	0	0	0	3
37	8	0	0.659654231	0	0	0	0	0	0	0	0	0	0	3
38	8	0	0.677482724	0	0	0	0	0	0	0	0	0	0	3
39	8	0	0.695311217	0	0	0	0	0	0	0	0	0	0	3
40	8	0	0.713139709	0	0	0	0	0	0	0	0	0	0	3
41	9	0	0.730968202	0	0	0	0	0	0	0	0	0	0	3
42	9	0	0.748796695	0	0	0	0	0	0	0	0	0	0	3
43	9	0	0.766625187	0	0	0	0	0	0	0	0	0	0	3
44	9	0	0.78445368	0	0	0	0	0	0	0	0	0	0	3
45	9	0	0.802282173	0	0	0	0	0	0	0	0	0	0	3
46	10	0	0.820110666	0	0	0	0	0	0	0	0	0	0	3
47	10	0	0.837939158	0	0	0	0	0	0	0	0	0	0	3
48	10	0	0.855767651	0	0	0	0	0	0	0	0	0	0	3
49	10	0	0.873596144	0	0	0	0	0	0	0	0	0	0	3
50	10	0	0.891424637	0	0	0	0	0	0	0	0	0	0	3
51	10	0	0.909253129	0	0	0	0	0	0	0	0	0	0	3
52	11	0	0.927081622	0	0	0	0	0	0	0	0	0	0	3
53	11	0	0.944910115	0	0	0	0	0	0	0	0	0	0	3
54	11	0	0.962738608	0	0	0	0	0	0	0	0	0	0	3
55	11	0	0.9805671	0	0	0	0	0	0	0	0	0	0	3
56	11	0	0.998395593	0	0	0	0	0	0	0	0	0	0	3
57	12	0	1.01622409	0	0	0	0	0	0.001	0	0	0	0	3
58	12	0	1.03405258	0	0	0	0	0	0.001	0	0	0	0	3
59	12	0	1.05188107	0	0	0	0	0	0.001	0	0	0	0	3
60	12	0	1.06970956	0	0	0	0	0	0.001	0	0	0	0	3
61	12	0	1.08753806	0	0	0	0	0	0.001	0	0	0	0	3
62	13	0	1.10536655	0	0	0	0	0	0.001	0	0	0	0	3
63	13	0	1.12319504	0	0	0	0	0	0.001	0	0	0	0	3
