Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0178284927	101329.916	101329.916	101329.916	101329.916	0	0	0	0	0	0	3
2	2	0	0.0356569855	101324.994	101327.455	101324.994	101329.916	2.46053782	0	0	0	0	0	3
3	2	0	0.0534854782	101324.944	101326.618	101324.944	101329.916	3.2974358	0	0	0	0	0	3
4	2	0	0.0713139709	101324.508	101326.091	101324.508	101329.916	3.82500736	0	0	0	0	0	3
5	2	0	0.0891424637	101324.874	101325.847	101324.508	101329.916	4.0683063	0	0	0	0	0	3
6	3	0	0.106970956	101324.672	101325.651	101324.508	101329.916	4.26417519	0	0	0	0	0	3
7	3	0	0.124799449	101324.786	101325.528	101324.508	101329.916	4.38786099	0	0	0	0	0	3
8	3	0	0.142627942	101324.69	101325.423	101324.508	101329.916	4.49261763	0	0	0	0	0	3
9	3	0	0.160456435	101324.701	101325.343	101324.508	101329.916	4.57278341	0	0	0	0	0	3
10	3	0	0.178284927	101324.666	101325.275	101324.508	101329.916	4.64047292	0	0	0	0	0	3
11	3	0	0.19611342	101324.635	101325.217	101324.508	101329.916	4.69868734	0	0	0	0	0	3
12	4	0	0.213941913	101324.591	101325.165	101324.508	101329.916	4.75085491	0	0	0	0	0	3
13	4	0	0.231770406	101324.578	101325.119	101324.508	101329.916	4.796019	0	0	0	0	0	3
14	4	0	0.249598898	101324.54	101325.078	101324.508	101329.916	4.83744105	0	0	0	0	0	3
15	4	0	0.267427391	101324.494	101325.039	101324.494	101329.916	4.87635411	0	0	0	0	0	3
16	4	0	0.285255884	101324.506	101325.006	101324.494	101329.916	4.90967661	0	0	0	0	0	3
17	4	0	0.303084376	101324.413	101324.971	101324.413	101329.916	4.94455949	0	0	0	0	0	3
18	5	0	0.320912869	101324.37	101324.938	101324.37	101329.916	4.97796616	0	0	0	0	0	3
19	5	0	0.338741362	101324.303	101324.904	101324.303	101329.916	5.01137962	0	0	0	0	0	3
20	5	0	0.356569855	101324.273	101324.873	101324.273	101329.916	5.04291689	0	0	0	0	0	3
21	5	0	0.374398347	101324.215	101324.841	101324.215	101329.916	5.07422862	0	0	0	0	0	3
22	5	0	0.39222684	101324.167	101324.811	101324.167	101329.916	5.10486392	0	0	0	0	0	3
23	5	0	0.410055333	101324.098	101324.78	101324.098	101329.916	5.1358688	0	0	0	0	0	3
24	5	0	0.427883826	101324.071	101324.75	101324.071	101329.916	5.16541595	0	0	0	0	0	3
25	6	0	0.445712318	101324.035	101324.722	101324.035	101329.916	5.19400132	0	0	0	0	0	3
26	6	0	0.463540811	101324.034	101324.695	101324.034	101329.916	5.22045747	0	0	0	0	0	3
27	6	0	0.481369304	101324.042	101324.671	101324.034	101329.916	5.24462661	0	0	0	0	0	3
28	6	0	0.499197796	101324.063	101324.649	101324.034	101329.916	5.26633188	0	0	0	0	0	3
29	6	0	0.517026289	101324.09	101324.63	101324.034	101329.916	5.28562684	0	0	0	0	0	3
30	6	0	0.534854782	101324.119	101324.43	101324.034	101324.994	0.960785563	0	0	0	0	0	3
31	7	0	0.552683275	101324.144	101324.401	101324.034	101324.944	0.910629463	0	0	0	0	0	3
32	7	0	0.570511767	101324.167	101324.374	101324.034	101324.874	0.840359106	0	0	0	0	0	3
33	7	0	0.58834026	101324.193	101324.363	101324.034	101324.874	0.840359106	0	0	0	0	0	3
34	7	0	0.606168753	101324.216	101324.34	101324.034	101324.786	0.751885439	0	0	0	0	0	3
35	7	0	0.623997246	101324.22	101324.325	101324.034	101324.786	0.751885439	0	0	0	0	0	3
36	8	0	0.641825738	101324.223	101324.305	101324.034	101324.701	0.667751505	0	0	0	0	0	3
37	8	0	0.659654231	101324.244	101324.29	101324.034	101324.701	0.667751505	0	0	0	0	0	3
38	8	0	0.677482724	101324.259	101324.275	101324.034	101324.666	0.632182707	0	0	0	0	0	3
39	8	0	0.695311217	101324.262	101324.261	101324.034	101324.635	0.601029659	0	0	0	0	0	3
40	8	0	0.713139709	101324.257	101324.248	101324.034	101324.591	0.55716304	0	0	0	0	0	3
41	9	0	0.730968202	101324.26	101324.236	101324.034	101324.578	0.543873157	0	0	0	0	0	3
42	9	0	0.748796695	101324.269	101324.226	101324.034	101324.54	0.505933529	0	0	0	0	0	3
43	9	0	0.766625187	101324.27	101324.216	101324.034	101324.506	0.472347195	0	0	0	0	0	3
44	9	0	0.78445368	101324.271	101324.209	101324.034	101324.506	0.472347195	0	0	0	0	0	3
45	9	0	0.802282173	101324.268	101324.201	101324.034	101324.413	0.379175532	0	0	0	0	0	3
46	10	0	0.820110666	101324.268	101324.196	101324.034	101324.37	0.335981769	0	0	0	0	0	3
47	10	0	0.837939158	101324.277	101324.192	101324.034	101324.303	0.269039256	0	0	0	0	0	3
48	10	0	0.855767651	101324.267	101324.191	101324.034	101324.277	0.242888241	0	0	0	0	0	3
49	10	0	0.873596144	101324.26	101324.191	101324.034	101324.277	0.242888241	0	0	0	0	0	3
50	10	0	0.891424637	101324.263	101324.192	101324.034	101324.277	0.242888241	0	0	0	0	0	3
51	10	0	0.909253129	101324.259	101324.196	101324.034	101324.277	0.242888241	0	0	0	0	0	3
52	11	0	0.927081622	101324.257	101324.201	101324.034	101324.277	0.242888241	0	0	0	0	0	3
53	11	0	0.944910115	101324.255	101324.207	101324.034	101324.277	0.242888241	0	0	0	0	0	3
54	11	0	0.962738608	101324.252	101324.215	101324.034	101324.277	0.242888241	0	0	0	0	0	3
55	11	0	0.9805671	101324.251	101324.222	101324.042	101324.277	0.234051224	0	0	0	0	0	3
56	11	0	0.998395593	101324.252	101324.23	101324.063	101324.277	0.213401235	0	0	0	0	0	3
57	12	0	1.01622409	101324.258	101324.236	101324.09	101324.277	0.186912655	0.0273188839	0	0	0	0	3
58	12	0	1.03405258	101324.255	101324.242	101324.119	101324.277	0.157970926	0.0273188839	0	0	0	0	3
