Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0178284927	293.199584	293.199584	293.199584	293.199584	0	0	0	0	0	0	3
2	2	0	0.0356569855	293.199537	293.19956	293.199537	293.199584	2.34820079e-05	0	0	0	0	0	3
3	2	0	0.0534854782	293.199526	293.199549	293.199526	293.199584	3.48049555e-05	0	0	0	0	0	3
4	2	0	0.0713139709	293.199509	293.199539	293.199509	293.199584	4.48364439e-05	0	0	0	0	0	3
5	2	0	0.0891424637	293.199487	293.199529	293.199487	293.199584	5.52705859e-05	0	0	0	0	0	3
6	3	0	0.106970956	293.199444	293.199515	293.199444	293.199584	6.92854308e-05	0	0	0	0	0	3
7	3	0	0.124799449	293.199393	293.199497	293.199393	293.199584	8.66566784e-05	0	0	0	0	0	3
8	3	0	0.142627942	293.199341	293.199478	293.199341	293.199584	0.000106226031	0	0	0	0	0	3
9	3	0	0.160456435	293.199287	293.199456	293.199287	293.199584	0.000127413225	0	0	0	0	0	3
10	3	0	0.178284927	293.199235	293.199434	293.199235	293.199584	0.000149561103	0	0	0	0	0	3
11	3	0	0.19611342	293.199162	293.19941	293.199162	293.199584	0.000174284931	0	0	0	0	0	3
12	4	0	0.213941913	293.199089	293.199383	293.199089	293.199584	0.000200977873	0	0	0	0	0	3
13	4	0	0.231770406	293.199013	293.199354	293.199013	293.199584	0.000229416458	0	0	0	0	0	3
14	4	0	0.249598898	293.198934	293.199324	293.198934	293.199584	0.000259442192	0	0	0	0	0	3
15	4	0	0.267427391	293.198852	293.199293	293.198852	293.199584	0.000290922962	0	0	0	0	0	3
16	4	0	0.285255884	293.198717	293.199257	293.198717	293.199584	0.000326937019	0	0	0	0	0	3
17	4	0	0.303084376	293.198573	293.199217	293.198573	293.199584	0.000367154627	0	0	0	0	0	3
18	5	0	0.320912869	293.198417	293.199172	293.198417	293.199584	0.000411561188	0	0	0	0	0	3
19	5	0	0.338741362	293.198254	293.199124	293.198254	293.199584	0.000459904807	0	0	0	0	0	3
20	5	0	0.356569855	293.198077	293.199072	293.198077	293.199584	0.000512233002	0	0	0	0	0	3
21	5	0	0.374398347	293.197801	293.199011	293.197801	293.199584	0.000572740671	0	0	0	0	0	3
22	5	0	0.39222684	293.1975	293.198942	293.1975	293.199584	0.000641438199	0	0	0	0	0	3
23	5	0	0.410055333	293.197189	293.198866	293.197189	293.199584	0.000717684299	0	0	0	0	0	3
24	5	0	0.427883826	293.196864	293.198783	293.196864	293.199584	0.00080110843	0	0	0	0	0	3
25	6	0	0.445712318	293.196541	293.198693	293.196541	293.199584	0.000890768999	0	0	0	0	0	3
26	6	0	0.463540811	293.196072	293.198592	293.196072	293.199584	0.0009915673	0	0	0	0	0	3
27	6	0	0.481369304	293.19565	293.198483	293.19565	293.199584	0.0011005544	0	0	0	0	0	3
28	6	0	0.499197796	293.195282	293.198369	293.195282	293.199584	0.00121488008	0	0	0	0	0	3
29	6	0	0.517026289	293.194981	293.198252	293.194981	293.199584	0.00133171127	0	0	0	0	0	3
30	6	0	0.534854782	293.194747	293.198085	293.194747	293.199537	0.00147502345	0	0	0	0	0	3
31	7	0	0.552683275	293.194527	293.197913	293.194527	293.199526	0.00163643994	0	0	0	0	0	3
32	7	0	0.570511767	293.194412	293.197736	293.194412	293.199509	0.00180276267	0	0	0	0	0	3
33	7	0	0.58834026	293.194369	293.197559	293.194369	293.199487	0.0019695613	0	0	0	0	0	3
34	7	0	0.606168753	293.19437	293.197383	293.194369	293.199444	0.00213197535	0	0	0	0	0	3
35	7	0	0.623997246	293.194394	293.197208	293.194369	293.199393	0.00228876311	0	0	0	0	0	3
36	8	0	0.641825738	293.194432	293.197037	293.194369	293.199341	0.00244025054	0	0	0	0	0	3
37	8	0	0.659654231	293.194461	293.196869	293.194369	293.199287	0.00258731494	0	0	0	0	0	3
38	8	0	0.677482724	293.194485	293.196704	293.194369	293.199235	0.0027307429	0	0	0	0	0	3
39	8	0	0.695311217	293.194504	293.19654	293.194369	293.199162	0.002869144	0	0	0	0	0	3
40	8	0	0.713139709	293.194513	293.19638	293.194369	293.199089	0.00300275686	0	0	0	0	0	3
41	9	0	0.730968202	293.194508	293.196222	293.194369	293.199013	0.00313229068	0	0	0	0	0	3
42	9	0	0.748796695	293.194507	293.196067	293.194369	293.198934	0.00325764712	0	0	0	0	0	3
43	9	0	0.766625187	293.194516	293.195914	293.194369	293.198852	0.00337850252	0	0	0	0	0	3
44	9	0	0.78445368	293.194523	293.195765	293.194369	293.198717	0.00349177128	0	0	0	0	0	3
45	9	0	0.802282173	293.194529	293.195621	293.194369	293.198573	0.00359596353	0	0	0	0	0	3
46	10	0	0.820110666	293.19453	293.195481	293.194369	293.198417	0.00369096777	0	0	0	0	0	3
47	10	0	0.837939158	293.194534	293.195347	293.194369	293.198254	0.00377652323	0	0	0	0	0	3
48	10	0	0.855767651	293.194541	293.195219	293.194369	293.198077	0.00370821258	0	0	0	0	0	3
49	10	0	0.873596144	293.19454	293.195097	293.194369	293.197801	0.00343178725	0	0	0	0	0	3
50	10	0	0.891424637	293.194536	293.194985	293.194369	293.1975	0.00313059501	0	0	0	0	0	3
51	10	0	0.909253129	293.194535	293.194883	293.194369	293.197189	0.00281958278	0	0	0	0	0	3
52	11	0	0.927081622	293.194533	293.194791	293.194369	293.196864	0.00249481784	0	0	0	0	0	3
53	11	0	0.944910115	293.194532	293.194711	293.194369	293.196541	0.00217205865	0	0	0	0	0	3
54	11	0	0.962738608	293.194529	293.194641	293.194369	293.196072	0.00170315647	0	0	0	0	0	3
55	11	0	0.9805671	293.194528	293.194588	293.194369	293.19565	0.00128046237	0	0	0	0	0	3
56	11	0	0.998395593	293.194534	293.19455	293.194369	293.195282	0.000913007682	0	0	0	0	0	3
57	12	0	1.01622409	293.194538	293.194524	293.194369	293.194981	0.000611696678	0.000154716913	0	0	0	0	3
58	12	0	1.03405258	293.19454	293.194509	293.194369	293.194747	0.000377649922	0.000154716913	0	0	0	0	3
59	12	0	1.05188107	293.194542	293.194502	293.194369	293.194542	0.000172899597	0.000154716913	0	0	0	0	3
60	12	0	1.06970956	293.194536	293.194502	293.194369	293.194542	0.000172899597	0.000154716913	0	0	0	0	3
61	12	0	1.08753806	293.194536	293.194506	293.194369	293.194542	0.000172899597	0.000154716913	0	0	0	0	3
62	13	0	1.10536655	293.194535	293.194512	293.19437	293.194542	0.000171663431	0.000154716913	0	0	0	0	3
63	13	0	1.12319504	293.194527	293.194517	293.194394	293.194542	0.000148189235	0.000154716913	0	0	0	0	3
