Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0178284927
2	2	0	0.0356569855
3	2	0	0.0534854782
4	2	0	0.0713139709
5	2	0	0.0891424637
6	3	0	0.106970956
7	3	0	0.124799449
8	3	0	0.142627942
9	3	0	0.160456435
10	3	0	0.178284927
11	3	0	0.19611342
12	4	0	0.213941913
13	4	0	0.231770406
14	4	0	0.249598898
15	4	0	0.267427391
16	4	0	0.285255884
17	4	0	0.303084376
18	5	0	0.320912869
19	5	0	0.338741362
20	5	0	0.356569855
21	5	0	0.374398347
22	5	0	0.39222684
23	5	0	0.410055333
24	5	0	0.427883826
25	6	0	0.445712318
26	6	0	0.463540811
27	6	0	0.481369304
28	6	0	0.499197796
29	6	0	0.517026289
30	6	0	0.534854782
31	7	0	0.552683275
32	7	0	0.570511767
33	7	0	0.58834026
34	7	0	0.606168753
35	7	0	0.623997246
36	8	0	0.641825738
37	8	0	0.659654231
38	8	0	0.677482724
39	8	0	0.695311217
40	8	0	0.713139709
41	9	0	0.730968202
42	9	0	0.748796695
43	9	0	0.766625187
44	9	0	0.78445368
45	9	0	0.802282173
46	10	0	0.820110666
47	10	0	0.837939158
48	10	0	0.855767651
49	10	0	0.873596144
50	10	0	0.891424637
51	10	0	0.909253129
52	11	0	0.927081622
53	11	0	0.944910115
54	11	0	0.962738608
55	11	0	0.9805671
56	11	0	0.998395593
57	12	0	1.01622409
58	12	0	1.03405258
59	12	0	1.05188107
60	12	0	1.06970956
61	12	0	1.08753806
62	13	0	1.10536655
63	13	0	1.12319504
