Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0130403695	25.9952524	25.9952524	25.9952524	25.9952524	0	0	0	0	0	0	3
2	2	0	0.0260807389	25.9958738	25.9955631	25.9952524	25.9958738	0.000310688749	0	0	0	0	0	3
3	3	0	0.0391211084	25.9959786	25.9957016	25.9952524	25.9959786	0.000449191977	0	0	0	0	0	3
4	3	0	0.0521614778	25.9962847	25.9958474	25.9952524	25.9962847	0.000594975055	0	0	0	0	0	3
5	3	0	0.0652018473	25.9964971	25.9959773	25.9952524	25.9964971	0.000724920831	0	0	0	0	0	3
6	4	0	0.0782422167	25.9969933	25.9961466	25.9952524	25.9969933	0.000894257521	0	0	0	0	0	3
7	4	0	0.0912825862	25.9974785	25.9963369	25.9952524	25.9974785	0.00108452155	0	0	0	0	0	3
8	4	0	0.104322956	25.998063	25.9965527	25.9952524	25.998063	0.00130027712	0	0	0	0	0	3
9	5	0	0.117363325	25.9985547	25.9967751	25.9952524	25.9985547	0.0015227299	0	0	0	0	0	3
10	5	0	0.130403695	25.9990916	25.9970068	25.9952524	25.9990916	0.00175437962	0	0	0	0	0	3
11	5	0	0.143444064	25.9995786	25.9972406	25.9952524	25.9995786	0.00198818331	0	0	0	0	0	3
12	6	0	0.156484433	26.0000761	25.9974769	25.9952524	26.0000761	0.00222447511	0	0	0	0	0	3
13	6	0	0.169524803	26.0004823	25.997708	25.9952524	26.0004823	0.00245566006	0	0	0	0	0	3
14	6	0	0.182565172	26.0008874	25.9979351	25.9952524	26.0008874	0.00268275548	0	0	0	0	0	3
15	7	0	0.195605542	26.0012331	25.998155	25.9952524	26.0012331	0.0029026169	0	0	0	0	0	3
16	7	0	0.208645911	26.0018727	25.9983874	25.9952524	26.0018727	0.0031349706	0	0	0	0	0	3
17	7	0	0.221686281	26.0024697	25.9986275	25.9952524	26.0024697	0.00337510794	0	0	0	0	0	3
18	8	0	0.23472665	26.0030587	25.9988737	25.9952524	26.0030587	0.00362128641	0	0	0	0	0	3
19	8	0	0.24776702	26.0036341	25.9991242	25.9952524	26.0036341	0.00387183461	0	0	0	0	0	3
20	9	0	0.260807389	26.0042108	25.9993786	25.9952524	26.0042108	0.00412616404	0	0	0	0	0	3
21	9	0	0.273847759	26.0050425	25.9996483	25.9952524	26.0050425	0.0043958777	0	0	0	0	0	3
22	9	0	0.286888128	26.0059009	25.9999325	25.9952524	26.0059009	0.00468008776	0	0	0	0	0	3
23	10	0	0.299928497	26.0067908	26.0002307	25.9952524	26.0067908	0.00497827448	0	0	0	0	0	3
24	10	0	0.312968867	26.0077262	26.000543	25.9952524	26.0077262	0.00529058749	0	0	0	0	0	3
25	10	0	0.326009236	26.0087066	26.0008695	25.9952524	26.0087066	0.00561713126	0	0	0	0	0	3
26	11	0	0.339049606	26.0105842	26.0012432	25.9952524	26.0105842	0.00599077476	0	0	0	0	0	3
27	11	0	0.352089975	26.012509	26.0016604	25.9952524	26.012509	0.00640802761	0	0	0	0	0	3
28	11	0	0.365130345	26.0144788	26.0021182	25.9952524	26.0144788	0.00686582864	0	0	0	0	0	3
29	12	0	0.378170714	26.0164735	26.0026132	25.9952524	26.0164735	0.00736083829	0	0	0	0	0	3
