Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0130403695	148.443149	148.443149	148.443149	148.443149	0	0	0	0	0	0	3
2	2	0	0.0260807389	17.2360738	82.8396114	17.2360738	148.443149	65.6035377	0	0	0	0	0	3
3	3	0	0.0391211084	5.77220326	57.1504754	5.77220326	148.443149	91.2926737	0	0	0	0	0	3
4	3	0	0.0521614778	1.99964459	43.3627677	1.99964459	148.443149	105.080381	0	0	0	0	0	3
5	3	0	0.0652018473	2.9818214	35.2865784	1.99964459	148.443149	113.156571	0	0	0	0	0	3
6	4	0	0.0782422167	2.07944514	29.7520562	1.99964459	148.443149	118.691093	0	0	0	0	0	3
7	4	0	0.0912825862	2.92081712	25.9190221	1.99964459	148.443149	122.524127	0	0	0	0	0	3
8	4	0	0.104322956	2.44631533	22.9849337	1.99964459	148.443149	125.458215	0	0	0	0	0	3
9	5	0	0.117363325	2.95152813	20.7589998	1.99964459	148.443149	127.684149	0	0	0	0	0	3
10	5	0	0.130403695	2.5301558	18.9361154	1.99964459	148.443149	129.507034	0	0	0	0	0	3
11	5	0	0.143444064	2.86807072	17.475384	1.99964459	148.443149	130.967765	0	0	0	0	0	3
12	6	0	0.156484433	2.5735378	16.2335635	1.99964459	148.443149	132.209586	0	0	0	0	0	3
13	6	0	0.169524803	2.73900521	15.1955206	1.99964459	148.443149	133.247629	0	0	0	0	0	3
14	6	0	0.182565172	2.56555825	14.2933804	1.99964459	148.443149	134.149769	0	0	0	0	0	3
15	7	0	0.195605542	2.66251825	13.5179896	1.99964459	148.443149	134.92516	0	0	0	0	0	3
16	7	0	0.208645911	2.57341785	12.8339539	1.99964459	148.443149	135.609195	0	0	0	0	0	3
17	7	0	0.221686281	2.58004649	12.2307828	1.99964459	148.443149	136.212366	0	0	0	0	0	3
18	8	0	0.23472665	2.52277903	11.6914493	1.99964459	148.443149	136.7517	0	0	0	0	0	3
19	8	0	0.24776702	2.50484768	11.2079439	1.99964459	148.443149	137.235205	0	0	0	0	0	3
20	9	0	0.260807389	2.4722172	10.7711576	1.99964459	148.443149	137.671992	0	0	0	0	0	3
21	9	0	0.273847759	2.40689843	10.3728596	1.99964459	148.443149	138.07029	0	0	0	0	0	3
22	9	0	0.286888128	2.39086726	10.0100417	1.99964459	148.443149	138.433107	0	0	0	0	0	3
23	10	0	0.299928497	2.37785902	9.67820769	1.99964459	148.443149	138.764941	0	0	0	0	0	3
24	10	0	0.312968867	2.35922478	9.37325007	1.99964459	148.443149	139.069899	0	0	0	0	0	3
25	10	0	0.326009236	2.35251113	9.09242051	1.99964459	148.443149	139.350729	0	0	0	0	0	3
26	11	0	0.339049606	2.20262375	8.82742833	1.99964459	148.443149	139.615721	0	0	0	0	0	3
27	11	0	0.352089975	2.22016596	8.58271491	1.99964459	148.443149	139.860434	0	0	0	0	0	3
28	11	0	0.365130345	2.21996262	8.35547375	1.99964459	148.443149	140.087675	0	0	0	0	0	3
29	12	0	0.378170714	2.23051943	8.14426843	1.99964459	148.443149	140.298881	0	0	0	0	0	3
30	12	0	0.391211084	2.2277489	7.94705111	1.99964459	148.443149	140.496098	0	0	0	0	0	3
31	13	0	0.404251453	2.15288747	7.76014261	1.99964459	148.443149	140.683007	0	0	0	0	0	3
32	13	0	0.417291823	2.14882016	7.58478878	1.99964459	148.443149	140.85836	0	0	0	0	0	3
33	13	0	0.430332192	2.15056404	7.42011531	1.99964459	148.443149	141.023034	0	0	0	0	0	3
34	14	0	0.443372561	2.14769891	7.26504424	1.99964459	148.443149	141.178105	0	0	0	0	0	3
35	14	0	0.456412931	2.14991975	7.11889782	1.99964459	148.443149	141.324251	0	0	0	0	0	3
36	14	0	0.4694533	2.0973049	6.97940913	1.99964459	148.443149	141.46374	0	0	0	0	0	3
37	15	0	0.48249367	2.09972317	6.84752572	1.99964459	148.443149	141.595623	0	0	0	0	0	3
38	15	0	0.495534039	2.09745515	6.72252387	1.99964459	148.443149	141.720625	0	0	0	0	0	3
39	16	0	0.508574409	2.09821259	6.60395178	1.99964459	148.443149	141.839197	0	0	0	0	0	3
40	16	0	0.521614778	2.08975595	2.85130068	1.99964459	17.2360738	15.2364292	0	0	0	0	0	3
41	16	0	0.534655148	2.05569812	2.46206028	1.99964459	5.77220326	3.77255867	0	0	0	0	0	3
42	17	0	0.547695517	2.04690704	2.36653986	1.99964459	2.9818214	0.982176811	0	0	0	0	0	3
43	17	0	0.560735886	2.04509963	2.36770537	2.04509963	2.9818214	0.936721772	0	0	0	0	0	3
44	17	0	0.573776256	2.03940967	2.34354097	2.03940967	2.95152813	0.91211846	0	0	0	0	0	3
45	18	0	0.586816625	2.03936356	2.34251324	2.03936356	2.95152813	0.912164562	0	0	0	0	0	3
46	18	0	0.599856995	2.01874366	2.31938315	2.01874366	2.95152813	0.932784468	0	0	0	0	0	3
47	18	0	0.612897364	2.02385732	2.30855089	2.01874366	2.95152813	0.932784468	0	0	0	0	0	3
48	19	0	0.625937734	2.02173727	2.2847101	2.01874366	2.86807072	0.849327061	0	0	0	0	0	3
49	19	0	0.638978103	2.02270978	2.27169866	2.01874366	2.86807072	0.849327061	0	0	0	0	0	3
50	20	0	0.652018473	2.01815925	2.24990606	2.01815925	2.73900521	0.720845955	0	0	0	0	0	3
51	20	0	0.665058842	2.0095832	2.23544569	2.0095832	2.73900521	0.729422011	0	0	0	0	0	3
52	20	0	0.678099212	2.00540495	2.21663542	2.00540495	2.66251825	0.657113298	0	0	0	0	0	3
53	21	0	0.691139581	2.00605034	2.20228907	2.00540495	2.66251825	0.657113298	0	0	0	0	0	3
54	21	0	0.70417995	2.00424933	2.18541038	2.00424933	2.58004649	0.575797156	0	0	0	0	0	3
55	21	0	0.71722032	2.00707992	2.17088889	2.00424933	2.58004649	0.575797156	0	0	0	0	0	3
56	22	0	0.730260689	2.00863452	2.1562373	2.00424933	2.52277903	0.518529694	0	0	0	0	0	3
