Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0130403695	-103.834413	-103.834413	-103.834413	-103.834413	0	0	0	0	0	0	3
2	2	0	0.0260807389	-14.4592628	-59.1468381	-103.834413	-14.4592628	44.6875753	0	0	0	0	0	3
3	3	0	0.0391211084	-3.44456682	-40.5794143	-103.834413	-3.44456682	63.2549991	0	0	0	0	0	3
4	3	0	0.0521614778	-1.41809611	-30.7890848	-103.834413	-1.41809611	73.0453286	0	0	0	0	0	3
5	3	0	0.0652018473	-2.99074556	-25.2294169	-103.834413	-1.41809611	78.6049965	0	0	0	0	0	3
6	4	0	0.0782422167	-2.52250084	-21.4449309	-103.834413	-1.41809611	82.3894825	0	0	0	0	0	3
7	4	0	0.0912825862	-3.15707292	-18.8323798	-103.834413	-1.41809611	85.0020337	0	0	0	0	0	3
8	4	0	0.104322956	-2.36789468	-16.7743191	-103.834413	-1.41809611	87.0600943	0	0	0	0	0	3
9	5	0	0.117363325	-3.1207951	-15.2572609	-103.834413	-1.41809611	88.5771525	0	0	0	0	0	3
10	5	0	0.130403695	-2.25070066	-13.9566049	-103.834413	-1.41809611	89.8778085	0	0	0	0	0	3
11	5	0	0.143444064	-3.05232282	-12.9653065	-103.834413	-1.41809611	90.8691069	0	0	0	0	0	3
12	6	0	0.156484433	-2.28198204	-12.0750295	-103.834413	-1.41809611	91.7593839	0	0	0	0	0	3
13	6	0	0.169524803	-3.05092332	-11.3808675	-103.834413	-1.41809611	92.453546	0	0	0	0	0	3
14	6	0	0.182565172	-2.40003669	-10.7393796	-103.834413	-1.41809611	93.0950339	0	0	0	0	0	3
15	7	0	0.195605542	-2.97018054	-10.221433	-103.834413	-1.41809611	93.6129805	0	0	0	0	0	3
16	7	0	0.208645911	-2.50270977	-9.73901275	-103.834413	-1.41809611	94.0954007	0	0	0	0	0	3
17	7	0	0.221686281	-2.723623	-9.32634277	-103.834413	-1.41809611	94.5080707	0	0	0	0	0	3
18	8	0	0.23472665	-2.47067513	-8.94547234	-103.834413	-1.41809611	94.8889411	0	0	0	0	0	3
19	8	0	0.24776702	-2.6028694	-8.61165114	-103.834413	-1.41809611	95.2227623	0	0	0	0	0	3
20	9	0	0.260807389	-2.43144721	-8.30264094	-103.834413	-1.41809611	95.5317725	0	0	0	0	0	3
21	9	0	0.273847759	-2.54831551	-8.02862544	-103.834413	-1.41809611	95.805788	0	0	0	0	0	3
22	9	0	0.286888128	-2.50219928	-7.77742425	-103.834413	-1.41809611	96.0569892	0	0	0	0	0	3
23	10	0	0.299928497	-2.55194888	-7.55022967	-103.834413	-1.41809611	96.2841838	0	0	0	0	0	3
24	10	0	0.312968867	-2.48600396	-7.33922027	-103.834413	-1.41809611	96.4951932	0	0	0	0	0	3
25	10	0	0.326009236	-2.55239343	-7.14774719	-103.834413	-1.41809611	96.6866662	0	0	0	0	0	3
26	11	0	0.339049606	-2.52471759	-6.96993836	-103.834413	-1.41809611	96.8644751	0	0	0	0	0	3
27	11	0	0.352089975	-2.62843752	-6.80914204	-103.834413	-1.41809611	97.0252714	0	0	0	0	0	3
28	11	0	0.365130345	-2.60279672	-6.65891542	-103.834413	-1.41809611	97.175498	0	0	0	0	0	3
29	12	0	0.378170714	-2.6785525	-6.52166152	-103.834413	-1.41809611	97.3127519	0	0	0	0	0	3
30	12	0	0.391211084	-2.64548907	-6.39245578	-103.834413	-1.41809611	97.4419577	0	0	0	0	0	3
31	13	0	0.404251453	-2.70054988	-6.27336204	-103.834413	-1.41809611	97.5610514	0	0	0	0	0	3
32	13	0	0.417291823	-2.68048462	-6.16108462	-103.834413	-1.41809611	97.6733288	0	0	0	0	0	3
33	13	0	0.430332192	-2.71288147	-6.05659361	-103.834413	-1.41809611	97.7778198	0	0	0	0	0	3
34	14	0	0.443372561	-2.66799388	-5.95692892	-103.834413	-1.41809611	97.8774845	0	0	0	0	0	3
35	14	0	0.456412931	-2.70397559	-5.86398739	-103.834413	-1.41809611	97.970426	0	0	0	0	0	3
36	14	0	0.4694533	-2.67570408	-5.77542397	-103.834413	-1.41809611	98.0589895	0	0	0	0	0	3
37	15	0	0.48249367	-2.68865358	-5.69199774	-103.834413	-1.41809611	98.1424157	0	0	0	0	0	3
38	15	0	0.495534039	-2.65698304	-5.61212893	-103.834413	-1.41809611	98.2222845	0	0	0	0	0	3
39	16	0	0.508574409	-2.6631571	-5.53651427	-103.834413	-1.41809611	98.2978992	0	0	0	0	0	3
40	16	0	0.521614778	-2.64102701	-2.94181205	-14.4592628	-1.41809611	13.0411667	0	0	0	0	0	3
41	16	0	0.534655148	-2.65203625	-2.63906266	-3.44456682	-1.41809611	2.02647071	0	0	0	0	0	3
42	17	0	0.547695517	-2.62805367	-2.61812642	-3.15707292	-1.41809611	1.73897682	0	0	0	0	0	3
43	17	0	0.560735886	-2.63605543	-2.64935615	-3.15707292	-2.25070066	0.906372268	0	0	0	0	0	3
44	17	0	0.573776256	-2.61742661	-2.63978387	-3.15707292	-2.25070066	0.906372268	0	0	0	0	0	3
45	18	0	0.586816625	-2.62484665	-2.64240812	-3.15707292	-2.25070066	0.906372268	0	0	0	0	0	3
46	18	0	0.599856995	-2.59708192	-2.62804937	-3.1207951	-2.25070066	0.870094447	0	0	0	0	0	3
47	18	0	0.612897364	-2.60608678	-2.63415686	-3.1207951	-2.25070066	0.870094447	0	0	0	0	0	3
48	19	0	0.625937734	-2.58583315	-2.62043989	-3.05232282	-2.25070066	0.801622166	0	0	0	0	0	3
49	19	0	0.638978103	-2.59130154	-2.62917325	-3.05232282	-2.28198204	0.770340778	0	0	0	0	0	3
50	20	0	0.652018473	-2.58092102	-2.61708602	-3.05092332	-2.28198204	0.768941272	0	0	0	0	0	3
51	20	0	0.665058842	-2.59492883	-2.6251103	-3.05092332	-2.40003669	0.650886629	0	0	0	0	0	3
52	20	0	0.678099212	-2.59197603	-2.61334242	-2.97018054	-2.40003669	0.570143848	0	0	0	0	0	3
53	21	0	0.691139581	-2.60891856	-2.61869836	-2.97018054	-2.43144721	0.538733327	0	0	0	0	0	3
54	21	0	0.70417995	-2.59677475	-2.60912386	-2.723623	-2.43144721	0.292175796	0	0	0	0	0	3
55	21	0	0.71722032	-2.61423715	-2.61198353	-2.723623	-2.43144721	0.292175796	0	0	0	0	0	3
56	22	0	0.730260689	-2.60372424	-2.60890921	-2.71288147	-2.43144721	0.281434261	0	0	0	0	0	3
57	22	0	0.743301059	-2.62481517	-2.61286152	-2.71288147	-2.43144721	0.281434261	0	0	0	0	0	3
58	22	0	0.756341428	-2.61375896	-2.61314073	-2.71288147	-2.43144721	0.281434261	0	0	0	0	0	3
59	23	0	0.769381798	-2.63027333	-2.61823884	-2.71288147	-2.48600396	0.226877507	0	0	0	0	0	3
60	23	0	0.782422167	-2.62323866	-2.62015995	-2.71288147	-2.48600396	0.226877507	0	0	0	0	0	3
61	23	0	0.795462537	-2.62771437	-2.62337828	-2.71288147	-2.48600396	0.226877507	0	0	0	0	0	3
62	24	0	0.808502906	-2.61121823	-2.62489801	-2.71288147	-2.48600396	0.226877507	0	0	0	0	0	3
63	24	0	0.821543276	-2.61705748	-2.62825836	-2.71288147	-2.52471759	0.188163875	0	0	0	0	0	3
64	24	0	0.834583645	-2.60615436	-2.62963684	-2.71288147	-2.52471759	0.188163875	0	0	0	0	0	3
65	25	0	0.847624014	-2.61880238	-2.63204927	-2.71288147	-2.58092102	0.131960449	0	0	0	0	0	3
66	25	0	0.860664384	-2.61200072	-2.63162782	-2.71288147	-2.58092102	0.131960449	0	0	0	0	0	3
67	25	0	0.873704753	-2.62470459	-2.63218956	-2.71288147	-2.58092102	0.131960449	0	0	0	0	0	3
68	26	0	0.886745123	-2.61948938	-2.63067512	-2.71288147	-2.58092102	0.131960449	0	0	0	0	0	3
69	26	0	0.899785492	-2.62944738	-2.63026379	-2.71288147	-2.58092102	0.131960449	0	0	0	0	0	3
70	26	0	0.912825862	-2.62560883	-2.62834223	-2.71288147	-2.58092102	0.131960449	0	0	0	0	0	3
71	27	0	0.925866231	-2.63339721	-2.62713486	-2.71288147	-2.58092102	0.131960449	0	0	0	0	0	3
72	27	0	0.938906601	-2.61730134	-2.62468408	-2.70397559	-2.58092102	0.123054573	0	0	0	0	0	3
73	27	0	0.95194697	-2.61302478	-2.62327462	-2.70397559	-2.58092102	0.123054573	0	0	0	0	0	3
74	28	0	0.96498734	-2.59799727	-2.62055723	-2.68865358	-2.58092102	0.107732556	0	0	0	0	0	3
75	28	0	0.978027709	-2.60253312	-2.61868105	-2.68865358	-2.58092102	0.107732556	0	0	0	0	0	3
76	28	0	0.991068078	-2.59353047	-2.61624199	-2.6631571	-2.58092102	0.0822360819	0	0	0	0	0	3
77	29	0	1.00410845	-2.6062365	-2.6149408	-2.6631571	-2.58092102	0.0822360819	0.0607941212	0	73.9	0	0	3
78	29	0	1.01714882	-2.5982212	-2.61327578	-2.65203625	-2.58092102	0.0711152306	0.0607941212	0	85.4	0	0	3
