Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0130403695	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0260807389	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0391211084	0	0	0	0	0	0	0	0	0	0	3
4	3	0	0.0521614778	0	0	0	0	0	0	0	0	0	0	3
5	3	0	0.0652018473	0	0	0	0	0	0	0	0	0	0	3
6	4	0	0.0782422167	0	0	0	0	0	0	0	0	0	0	3
7	4	0	0.0912825862	0	0	0	0	0	0	0	0	0	0	3
8	4	0	0.104322956	0	0	0	0	0	0	0	0	0	0	3
9	5	0	0.117363325	0	0	0	0	0	0	0	0	0	0	3
10	5	0	0.130403695	0	0	0	0	0	0	0	0	0	0	3
11	5	0	0.143444064	0	0	0	0	0	0	0	0	0	0	3
12	6	0	0.156484433	0	0	0	0	0	0	0	0	0	0	3
13	6	0	0.169524803	0	0	0	0	0	0	0	0	0	0	3
14	6	0	0.182565172	0	0	0	0	0	0	0	0	0	0	3
15	7	0	0.195605542	0	0	0	0	0	0	0	0	0	0	3
16	7	0	0.208645911	0	0	0	0	0	0	0	0	0	0	3
17	7	0	0.221686281	0	0	0	0	0	0	0	0	0	0	3
18	8	0	0.23472665	0	0	0	0	0	0	0	0	0	0	3
19	8	0	0.24776702	0	0	0	0	0	0	0	0	0	0	3
20	9	0	0.260807389	0	0	0	0	0	0	0	0	0	0	3
21	9	0	0.273847759	0	0	0	0	0	0	0	0	0	0	3
22	9	0	0.286888128	0	0	0	0	0	0	0	0	0	0	3
23	10	0	0.299928497	0	0	0	0	0	0	0	0	0	0	3
24	10	0	0.312968867	0	0	0	0	0	0	0	0	0	0	3
25	10	0	0.326009236	0	0	0	0	0	0	0	0	0	0	3
26	11	0	0.339049606	0	0	0	0	0	0	0	0	0	0	3
27	11	0	0.352089975	0	0	0	0	0	0	0	0	0	0	3
28	11	0	0.365130345	0	0	0	0	0	0	0	0	0	0	3
29	12	0	0.378170714	0	0	0	0	0	0	0	0	0	0	3
30	12	0	0.391211084	0	0	0	0	0	0	0	0	0	0	3
31	13	0	0.404251453	0	0	0	0	0	0	0	0	0	0	3
32	13	0	0.417291823	0	0	0	0	0	0	0	0	0	0	3
33	13	0	0.430332192	0	0	0	0	0	0	0	0	0	0	3
34	14	0	0.443372561	0	0	0	0	0	0	0	0	0	0	3
35	14	0	0.456412931	0	0	0	0	0	0	0	0	0	0	3
36	14	0	0.4694533	0	0	0	0	0	0	0	0	0	0	3
37	15	0	0.48249367	0	0	0	0	0	0	0	0	0	0	3
38	15	0	0.495534039	0	0	0	0	0	0	0	0	0	0	3
39	16	0	0.508574409	0	0	0	0	0	0	0	0	0	0	3
40	16	0	0.521614778	0	0	0	0	0	0	0	0	0	0	3
41	16	0	0.534655148	0	0	0	0	0	0	0	0	0	0	3
42	17	0	0.547695517	0	0	0	0	0	0	0	0	0	0	3
43	17	0	0.560735886	0	0	0	0	0	0	0	0	0	0	3
44	17	0	0.573776256	0	0	0	0	0	0	0	0	0	0	3
45	18	0	0.586816625	0	0	0	0	0	0	0	0	0	0	3
46	18	0	0.599856995	0	0	0	0	0	0	0	0	0	0	3
47	18	0	0.612897364	0	0	0	0	0	0	0	0	0	0	3
48	19	0	0.625937734	0	0	0	0	0	0	0	0	0	0	3
49	19	0	0.638978103	0	0	0	0	0	0	0	0	0	0	3
50	20	0	0.652018473	0	0	0	0	0	0	0	0	0	0	3
51	20	0	0.665058842	0	0	0	0	0	0	0	0	0	0	3
52	20	0	0.678099212	0	0	0	0	0	0	0	0	0	0	3
53	21	0	0.691139581	0	0	0	0	0	0	0	0	0	0	3
54	21	0	0.70417995	0	0	0	0	0	0	0	0	0	0	3
55	21	0	0.71722032	0	0	0	0	0	0	0	0	0	0	3
56	22	0	0.730260689	0	0	0	0	0	0	0	0	0	0	3
57	22	0	0.743301059	0	0	0	0	0	0	0	0	0	0	3
58	22	0	0.756341428	0	0	0	0	0	0	0	0	0	0	3
59	23	0	0.769381798	0	0	0	0	0	0	0	0	0	0	3
60	23	0	0.782422167	0	0	0	0	0	0	0	0	0	0	3
61	23	0	0.795462537	0	0	0	0	0	0	0	0	0	0	3
62	24	0	0.808502906	0	0	0	0	0	0	0	0	0	0	3
63	24	0	0.821543276	0	0	0	0	0	0	0	0	0	0	3
64	24	0	0.834583645	0	0	0	0	0	0	0	0	0	0	3
65	25	0	0.847624014	0	0	0	0	0	0	0	0	0	0	3
66	25	0	0.860664384	0	0	0	0	0	0	0	0	0	0	3
67	25	0	0.873704753	0	0	0	0	0	0	0	0	0	0	3
68	26	0	0.886745123	0	0	0	0	0	0	0	0	0	0	3
69	26	0	0.899785492	0	0	0	0	0	0	0	0	0	0	3
70	26	0	0.912825862	0	0	0	0	0	0	0	0	0	0	3
71	27	0	0.925866231	0	0	0	0	0	0	0	0	0	0	3
72	27	0	0.938906601	0	0	0	0	0	0	0	0	0	0	3
73	27	0	0.95194697	0	0	0	0	0	0	0	0	0	0	3
74	28	0	0.96498734	0	0	0	0	0	0	0	0	0	0	3
75	28	0	0.978027709	0	0	0	0	0	0	0	0	0	0	3
76	28	0	0.991068078	0	0	0	0	0	0	0	0	0	0	3
77	29	0	1.00410845	0	0	0	0	0	5e-06	0	0	0	0	3
78	29	0	1.01714882	0	0	0	0	0	5e-06	0	0	0	0	3
79	29	0	1.03018919	0	0	0	0	0	5e-06	0	0	0	0	3
