Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0130403695	101326.649	101326.649	101326.649	101326.649	0	0	0	0	0	0	3
2	2	0	0.0260807389	101324.554	101325.602	101324.554	101326.649	1.04748122	0	0	0	0	0	3
3	3	0	0.0391211084	101324.774	101325.326	101324.554	101326.649	1.32336022	0	0	0	0	0	3
4	3	0	0.0521614778	101324.652	101325.157	101324.554	101326.649	1.49183455	0	0	0	0	0	3
5	3	0	0.0652018473	101324.731	101325.072	101324.554	101326.649	1.57716129	0	0	0	0	0	3
6	4	0	0.0782422167	101324.679	101325.006	101324.554	101326.649	1.64262227	0	0	0	0	0	3
7	4	0	0.0912825862	101324.744	101324.969	101324.554	101326.649	1.68014981	0	0	0	0	0	3
8	4	0	0.104322956	101324.705	101324.936	101324.554	101326.649	1.71317926	0	0	0	0	0	3
9	5	0	0.117363325	101324.751	101324.915	101324.554	101326.649	1.73372375	0	0	0	0	0	3
10	5	0	0.130403695	101324.707	101324.894	101324.554	101326.649	1.75458329	0	0	0	0	0	3
11	5	0	0.143444064	101324.742	101324.881	101324.554	101326.649	1.76843348	0	0	0	0	0	3
12	6	0	0.156484433	101324.708	101324.866	101324.554	101326.649	1.782855	0	0	0	0	0	3
13	6	0	0.169524803	101324.729	101324.856	101324.554	101326.649	1.79337257	0	0	0	0	0	3
14	6	0	0.182565172	101324.704	101324.845	101324.554	101326.649	1.80421142	0	0	0	0	0	3
15	7	0	0.195605542	101324.718	101324.836	101324.554	101326.649	1.8126524	0	0	0	0	0	3
16	7	0	0.208645911	101324.702	101324.828	101324.554	101326.649	1.82102653	0	0	0	0	0	3
17	7	0	0.221686281	101324.708	101324.821	101324.554	101326.649	1.82806312	0	0	0	0	0	3
18	8	0	0.23472665	101324.699	101324.814	101324.554	101326.649	1.8348592	0	0	0	0	0	3
19	8	0	0.24776702	101324.704	101324.808	101324.554	101326.649	1.84067107	0	0	0	0	0	3
20	9	0	0.260807389	101324.7	101324.803	101324.554	101326.649	1.84607857	0	0	0	0	0	3
21	9	0	0.273847759	101324.702	101324.798	101324.554	101326.649	1.85089464	0	0	0	0	0	3
22	9	0	0.286888128	101324.7	101324.794	101324.554	101326.649	1.85536418	0	0	0	0	0	3
23	10	0	0.299928497	101324.698	101324.79	101324.554	101326.649	1.85953272	0	0	0	0	0	3
24	10	0	0.312968867	101324.693	101324.785	101324.554	101326.649	1.86355352	0	0	0	0	0	3
25	10	0	0.326009236	101324.688	101324.782	101324.554	101326.649	1.86744851	0	0	0	0	0	3
26	11	0	0.339049606	101324.679	101324.778	101324.554	101326.649	1.87140837	0	0	0	0	0	3
27	11	0	0.352089975	101324.669	101324.774	101324.554	101326.649	1.87542397	0	0	0	0	0	3
28	11	0	0.365130345	101324.659	101324.77	101324.554	101326.649	1.87952683	0	0	0	0	0	3
29	12	0	0.378170714	101324.649	101324.765	101324.554	101326.649	1.88368062	0	0	0	0	0	3
30	12	0	0.391211084	101324.644	101324.761	101324.554	101326.649	1.88772259	0	0	0	0	0	3
31	13	0	0.404251453	101324.642	101324.757	101324.554	101326.649	1.89155903	0	0	0	0	0	3
32	13	0	0.417291823	101324.643	101324.754	101324.554	101326.649	1.89512505	0	0	0	0	0	3
33	13	0	0.430332192	101324.647	101324.751	101324.554	101326.649	1.89837226	0	0	0	0	0	3
34	14	0	0.443372561	101324.651	101324.748	101324.554	101326.649	1.90130149	0	0	0	0	0	3
35	14	0	0.456412931	101324.655	101324.745	101324.554	101326.649	1.90394301	0	0	0	0	0	3
36	14	0	0.4694533	101324.659	101324.743	101324.554	101326.649	1.90633275	0	0	0	0	0	3
37	15	0	0.48249367	101324.662	101324.741	101324.554	101326.649	1.9085026	0	0	0	0	0	3
38	15	0	0.495534039	101324.665	101324.739	101324.554	101326.649	1.91048776	0	0	0	0	0	3
39	16	0	0.508574409	101324.667	101324.737	101324.554	101326.649	1.91232858	0	0	0	0	0	3
40	16	0	0.521614778	101324.667	101324.686	101324.554	101324.774	0.219844225	0	0	0	0	0	3
41	16	0	0.534655148	101324.667	101324.689	101324.642	101324.774	0.131534068	0	0	0	0	0	3
42	17	0	0.547695517	101324.667	101324.686	101324.642	101324.751	0.10857258	0	0	0	0	0	3
43	17	0	0.560735886	101324.667	101324.686	101324.642	101324.751	0.10857258	0	0	0	0	0	3
44	17	0	0.573776256	101324.667	101324.685	101324.642	101324.751	0.10857258	0	0	0	0	0	3
45	18	0	0.586816625	101324.667	101324.685	101324.642	101324.751	0.10857258	0	0	0	0	0	3
46	18	0	0.599856995	101324.667	101324.683	101324.642	101324.751	0.10857258	0	0	0	0	0	3
47	18	0	0.612897364	101324.668	101324.682	101324.642	101324.751	0.10857258	0	0	0	0	0	3
48	19	0	0.625937734	101324.667	101324.679	101324.642	101324.742	0.0997169008	0	0	0	0	0	3
49	19	0	0.638978103	101324.667	101324.678	101324.642	101324.742	0.0997169008	0	0	0	0	0	3
50	20	0	0.652018473	101324.667	101324.677	101324.642	101324.729	0.0870688934	0	0	0	0	0	3
51	20	0	0.665058842	101324.667	101324.675	101324.642	101324.729	0.0870688934	0	0	0	0	0	3
52	20	0	0.678099212	101324.667	101324.674	101324.642	101324.718	0.0758261611	0	0	0	0	0	3
53	21	0	0.691139581	101324.667	101324.673	101324.642	101324.718	0.0758261611	0	0	0	0	0	3
54	21	0	0.70417995	101324.668	101324.672	101324.642	101324.708	0.0660037955	0	0	0	0	0	3
55	21	0	0.71722032	101324.667	101324.671	101324.642	101324.708	0.0660037955	0	0	0	0	0	3
56	22	0	0.730260689	101324.667	101324.67	101324.642	101324.704	0.0613675498	0	0	0	0	0	3
57	22	0	0.743301059	101324.667	101324.669	101324.642	101324.704	0.0613675498	0	0	0	0	0	3
58	22	0	0.756341428	101324.666	101324.668	101324.642	101324.702	0.059436154	0	0	0	0	0	3
59	23	0	0.769381798	101324.666	101324.667	101324.642	101324.702	0.059436154	0	0	0	0	0	3
60	23	0	0.782422167	101324.666	101324.666	101324.642	101324.7	0.0574279255	0	0	0	0	0	3
61	23	0	0.795462537	101324.666	101324.665	101324.642	101324.698	0.0554115883	0	0	0	0	0	3
62	24	0	0.808502906	101324.666	101324.664	101324.642	101324.693	0.0506202847	0	0	0	0	0	3
63	24	0	0.821543276	101324.666	101324.664	101324.642	101324.688	0.0457240512	0	0	0	0	0	3
64	24	0	0.834583645	101324.666	101324.663	101324.642	101324.679	0.0362473818	0	0	0	0	0	3
65	25	0	0.847624014	101324.666	101324.663	101324.642	101324.669	0.0268226599	0	0	0	0	0	3
66	25	0	0.860664384	101324.666	101324.663	101324.642	101324.668	0.025175981	0	0	0	0	0	3
67	25	0	0.873704753	101324.666	101324.663	101324.642	101324.668	0.025175981	0	0	0	0	0	3
68	26	0	0.886745123	101324.666	101324.663	101324.642	101324.668	0.025175981	0	0	0	0	0	3
69	26	0	0.899785492	101324.667	101324.664	101324.642	101324.668	0.025175981	0	0	0	0	0	3
70	26	0	0.912825862	101324.667	101324.665	101324.643	101324.668	0.0241954736	0	0	0	0	0	3
71	27	0	0.925866231	101324.667	101324.665	101324.647	101324.668	0.0208067162	0	0	0	0	0	3
72	27	0	0.938906601	101324.667	101324.666	101324.651	101324.668	0.0164895223	0	0	0	0	0	3
73	27	0	0.95194697	101324.667	101324.666	101324.655	101324.668	0.0122785193	0	0	0	0	0	3
74	28	0	0.96498734	101324.666	101324.666	101324.659	101324.668	0.00849720863	0	0	0	0	0	3
75	28	0	0.978027709	101324.666	101324.667	101324.662	101324.668	0.00514088401	0	0	0	0	0	3
76	28	0	0.991068078	101324.666	101324.667	101324.665	101324.668	0.00246268597	0	0	0	0	0	3
77	29	0	1.00410845	101324.666	101324.667	101324.666	101324.668	0.00193098428	0.00394602203	0	0	0	0	3
78	29	0	1.01714882	101324.666	101324.667	101324.666	101324.668	0.00193098428	0.00394602203	0	0	0	0	3
79	29	0	1.03018919	101324.667	101324.667	101324.666	101324.668	0.00193098428	0.00394602203	0	0	0	0	3
