Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0130403695	300.199994	300.199994	300.199994	300.199994	0	0	0	0	0	0	3
2	2	0	0.0260807389	300.199975	300.199985	300.199975	300.199994	9.53369567e-06	0	0	0	0	0	3
3	3	0	0.0391211084	300.199972	300.19998	300.199972	300.199994	1.38628641e-05	0	0	0	0	0	3
4	3	0	0.0521614778	300.199965	300.199976	300.199965	300.199994	1.77118119e-05	0	0	0	0	0	3
5	3	0	0.0652018473	300.199959	300.199973	300.199959	300.199994	2.12457046e-05	0	0	0	0	0	3
6	4	0	0.0782422167	300.199946	300.199968	300.199946	300.199994	2.56971706e-05	0	0	0	0	0	3
7	4	0	0.0912825862	300.199932	300.199963	300.199932	300.199994	3.09187033e-05	0	0	0	0	0	3
8	4	0	0.104322956	300.199916	300.199957	300.199916	300.199994	3.67978914e-05	0	0	0	0	0	3
9	5	0	0.117363325	300.199902	300.199951	300.199902	300.199994	4.29961079e-05	0	0	0	0	0	3
10	5	0	0.130403695	300.199887	300.199945	300.199887	300.199994	4.94227945e-05	0	0	0	0	0	3
11	5	0	0.143444064	300.199872	300.199938	300.199872	300.199994	5.6074402e-05	0	0	0	0	0	3
12	6	0	0.156484433	300.199857	300.199931	300.199857	300.199994	6.2843342e-05	0	0	0	0	0	3
13	6	0	0.169524803	300.199843	300.199925	300.199843	300.199994	6.96008646e-05	0	0	0	0	0	3
14	6	0	0.182565172	300.199831	300.199918	300.199831	300.199994	7.63030026e-05	0	0	0	0	0	3
15	7	0	0.195605542	300.199819	300.199911	300.199819	300.199994	8.28958234e-05	0	0	0	0	0	3
16	7	0	0.208645911	300.1998	300.199904	300.1998	300.199994	8.98812987e-05	0	0	0	0	0	3
17	7	0	0.221686281	300.199781	300.199897	300.199781	300.199994	9.71280063e-05	0	0	0	0	0	3
18	8	0	0.23472665	300.199763	300.19989	300.199763	300.199994	0.000104567118	0	0	0	0	0	3
19	8	0	0.24776702	300.199745	300.199882	300.199745	300.199994	0.000112152249	0	0	0	0	0	3
20	9	0	0.260807389	300.199728	300.199874	300.199728	300.199994	0.000119862685	0	0	0	0	0	3
21	9	0	0.273847759	300.199702	300.199866	300.199702	300.199994	0.000128064269	0	0	0	0	0	3
22	9	0	0.286888128	300.199675	300.199857	300.199675	300.199994	0.000136731691	0	0	0	0	0	3
23	10	0	0.299928497	300.199648	300.199848	300.199648	300.199994	0.000145839775	0	0	0	0	0	3
24	10	0	0.312968867	300.199619	300.199839	300.199619	300.199994	0.000155379926	0	0	0	0	0	3
25	10	0	0.326009236	300.19959	300.199829	300.19959	300.199994	0.000165337325	0	0	0	0	0	3
26	11	0	0.339049606	300.199537	300.199818	300.199537	300.199994	0.000176557867	0	0	0	0	0	3
27	11	0	0.352089975	300.199484	300.199805	300.199484	300.199994	0.000188922768	0	0	0	0	0	3
28	11	0	0.365130345	300.19943	300.199792	300.19943	300.199994	0.000202330063	0	0	0	0	0	3
29	12	0	0.378170714	300.199376	300.199778	300.199376	300.199994	0.000216675814	0	0	0	0	0	3
30	12	0	0.391211084	300.199323	300.199762	300.199323	300.199994	0.000231838966	0	0	0	0	0	3
31	13	0	0.404251453	300.199249	300.199746	300.199249	300.199994	0.000248411935	0	0	0	0	0	3
32	13	0	0.417291823	300.199186	300.199728	300.199186	300.199994	0.000265891938	0	0	0	0	0	3
33	13	0	0.430332192	300.199138	300.19971	300.199138	300.199994	0.000283779015	0	0	0	0	0	3
34	14	0	0.443372561	300.199103	300.199693	300.199103	300.199994	0.000301641387	0	0	0	0	0	3
35	14	0	0.456412931	300.19908	300.199675	300.19908	300.199994	0.000319137386	0	0	0	0	0	3
36	14	0	0.4694533	300.199063	300.199658	300.199063	300.199994	0.00033614936	0	0	0	0	0	3
37	15	0	0.48249367	300.199056	300.199642	300.199056	300.199994	0.000352412503	0	0	0	0	0	3
38	15	0	0.495534039	300.199056	300.199626	300.199056	300.199994	0.000367833963	0	0	0	0	0	3
39	16	0	0.508574409	300.199057	300.199612	300.199056	300.199994	0.000382420741	0	0	0	0	0	3
40	16	0	0.521614778	300.199059	300.199588	300.199056	300.199975	0.000396861176	0	0	0	0	0	3
41	16	0	0.534655148	300.199058	300.199564	300.199056	300.199972	0.000416060587	0	0	0	0	0	3
42	17	0	0.547695517	300.199055	300.199541	300.199055	300.199965	0.000435711257	0	0	0	0	0	3
43	17	0	0.560735886	300.199053	300.199517	300.199053	300.199959	0.000455568682	0	0	0	0	0	3
44	17	0	0.573776256	300.199051	300.199494	300.199051	300.199946	0.000474401747	0	0	0	0	0	3
45	18	0	0.586816625	300.199049	300.199471	300.199049	300.199932	0.000492183198	0	0	0	0	0	3
46	18	0	0.599856995	300.199052	300.199449	300.199049	300.199916	0.000508872838	0	0	0	0	0	3
47	18	0	0.612897364	300.199054	300.199426	300.199049	300.199902	0.000524771408	0	0	0	0	0	3
48	19	0	0.625937734	300.199057	300.199405	300.199049	300.199887	0.000539997182	0	0	0	0	0	3
49	19	0	0.638978103	300.199059	300.199384	300.199049	300.199872	0.000554568103	0	0	0	0	0	3
50	20	0	0.652018473	300.199061	300.199363	300.199049	300.199857	0.000568585088	0	0	0	0	0	3
51	20	0	0.665058842	300.199058	300.199342	300.199049	300.199843	0.000582311667	0	0	0	0	0	3
52	20	0	0.678099212	300.199056	300.199322	300.199049	300.199831	0.000595812468	0	0	0	0	0	3
53	21	0	0.691139581	300.199053	300.199302	300.199049	300.199819	0.000609152853	0	0	0	0	0	3
54	21	0	0.70417995	300.199052	300.199282	300.199049	300.1998	0.000621841925	0	0	0	0	0	3
55	21	0	0.71722032	300.19905	300.199263	300.199049	300.199781	0.000633804557	0	0	0	0	0	3
56	22	0	0.730260689	300.199047	300.199244	300.199047	300.199763	0.000645182095	0	0	0	0	0	3
57	22	0	0.743301059	300.199045	300.199226	300.199045	300.199745	0.000656020279	0	0	0	0	0	3
58	22	0	0.756341428	300.199043	300.199208	300.199043	300.199728	0.000666335095	0	0	0	0	0	3
59	23	0	0.769381798	300.199041	300.19919	300.199041	300.199702	0.000661422089	0	0	0	0	0	3
60	23	0	0.782422167	300.199039	300.199173	300.199039	300.199675	0.000636189468	0	0	0	0	0	3
61	23	0	0.795462537	300.199041	300.199157	300.199039	300.199648	0.000608719391	0	0	0	0	0	3
62	24	0	0.808502906	300.199042	300.199142	300.199039	300.199619	0.00058013365	0	0	0	0	0	3
