Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0130403695
2	2	0	0.0260807389
3	3	0	0.0391211084
4	3	0	0.0521614778
5	3	0	0.0652018473
6	4	0	0.0782422167
7	4	0	0.0912825862
8	4	0	0.104322956
9	5	0	0.117363325
10	5	0	0.130403695
11	5	0	0.143444064
12	6	0	0.156484433
13	6	0	0.169524803
14	6	0	0.182565172
15	7	0	0.195605542
16	7	0	0.208645911
17	7	0	0.221686281
18	8	0	0.23472665
19	8	0	0.24776702
20	9	0	0.260807389
21	9	0	0.273847759
22	9	0	0.286888128
23	10	0	0.299928497
24	10	0	0.312968867
25	10	0	0.326009236
26	11	0	0.339049606
27	11	0	0.352089975
28	11	0	0.365130345
29	12	0	0.378170714
30	12	0	0.391211084
31	13	0	0.404251453
32	13	0	0.417291823
33	13	0	0.430332192
34	14	0	0.443372561
35	14	0	0.456412931
36	14	0	0.4694533
37	15	0	0.48249367
38	15	0	0.495534039
39	16	0	0.508574409
40	16	0	0.521614778
41	16	0	0.534655148
42	17	0	0.547695517
43	17	0	0.560735886
44	17	0	0.573776256
45	18	0	0.586816625
46	18	0	0.599856995
47	18	0	0.612897364
48	19	0	0.625937734
49	19	0	0.638978103
50	20	0	0.652018473
51	20	0	0.665058842
52	20	0	0.678099212
53	21	0	0.691139581
54	21	0	0.70417995
55	21	0	0.71722032
56	22	0	0.730260689
57	22	0	0.743301059
58	22	0	0.756341428
59	23	0	0.769381798
60	23	0	0.782422167
61	23	0	0.795462537
62	24	0	0.808502906
63	24	0	0.821543276
64	24	0	0.834583645
65	25	0	0.847624014
66	25	0	0.860664384
67	25	0	0.873704753
68	26	0	0.886745123
69	26	0	0.899785492
70	26	0	0.912825862
71	27	0	0.925866231
72	27	0	0.938906601
73	27	0	0.95194697
74	28	0	0.96498734
75	28	0	0.978027709
76	28	0	0.991068078
77	29	0	1.00410845
78	29	0	1.01714882
79	29	0	1.03018919
