Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0129655121	29.9954566	29.9954566	29.9954566	29.9954566	0	0	0	0	0	0	3
2	2	0	0.0259310242	29.9958056	29.9956311	29.9954566	29.9958056	0.000174480729	0	0	0	0	0	3
3	3	0	0.0388965363	29.995816	29.9956927	29.9954566	29.995816	0.000236114978	0	0	0	0	0	3
4	3	0	0.0518620483	29.9959645	29.9957607	29.9954566	29.9959645	0.000304042575	0	0	0	0	0	3
5	3	0	0.0648275604	29.9961237	29.9958333	29.9954566	29.9961237	0.000376647196	0	0	0	0	0	3
6	4	0	0.0777930725	29.9964391	29.9959342	29.9954566	29.9964391	0.000477612172	0	0	0	0	0	3
7	4	0	0.0907585846	29.9968028	29.9960583	29.9954566	29.9968028	0.000601694761	0	0	0	0	0	3
8	4	0	0.103724097	29.9971881	29.9961995	29.9954566	29.9971881	0.000742915504	0	0	0	0	0	3
9	5	0	0.116689609	29.997538	29.9963483	29.9954566	29.997538	0.000891636643	0	0	0	0	0	3
10	5	0	0.129655121	29.9978815	29.9965016	29.9954566	29.9978815	0.00104496423	0	0	0	0	0	3
11	6	0	0.142620633	29.9982157	29.9966574	29.9954566	29.9982157	0.00120079218	0	0	0	0	0	3
12	6	0	0.155586145	29.9984991	29.9968109	29.9954566	29.9984991	0.00135426826	0	0	0	0	0	3
13	6	0	0.168551657	29.998708	29.9969568	29.9954566	29.998708	0.00150019949	0	0	0	0	0	3
14	7	0	0.181517169	29.9988859	29.9970946	29.9954566	29.9988859	0.00163798997	0	0	0	0	0	3
15	7	0	0.194482681	29.9990125	29.9972225	29.9954566	29.9990125	0.00176584907	0	0	0	0	0	3
16	7	0	0.207448193	29.9992342	29.9973482	29.9954566	29.9992342	0.00189158325	0	0	0	0	0	3
17	8	0	0.220413705	29.9994219	29.9974702	29.9954566	29.9994219	0.00201356639	0	0	0	0	0	3
18	8	0	0.233379218	29.9996433	29.9975909	29.9954566	29.9996433	0.00213429577	0	0	0	0	0	3
19	9	0	0.24634473	29.9998842	29.9977116	29.9954566	29.9998842	0.00225499494	0	0	0	0	0	3
20	9	0	0.259310242	30.0001996	29.997836	29.9954566	30.0001996	0.00237939261	0	0	0	0	0	3
21	9	0	0.272275754	30.0007264	29.9979737	29.9954566	30.0007264	0.00251703217	0	0	0	0	0	3
