Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0129655121	-179.195576	-179.195576	-179.195576	-179.195576	0	0	0	0	0	0	3
2	2	0	0.0259310242	-33.2480821	-106.221829	-179.195576	-33.2480821	72.9737469	0	0	0	0	0	3
3	3	0	0.0388965363	-10.6033068	-74.3489882	-179.195576	-10.6033068	104.846588	0	0	0	0	0	3
4	3	0	0.0518620483	-8.27649227	-57.8308643	-179.195576	-8.27649227	121.364712	0	0	0	0	0	3
5	3	0	0.0648275604	-8.12587234	-47.8898659	-179.195576	-8.12587234	131.30571	0	0	0	0	0	3
6	4	0	0.0777930725	-8.10077464	-41.2583507	-179.195576	-8.10077464	137.937225	0	0	0	0	0	3
7	4	0	0.0907585846	-8.90022802	-36.6357617	-179.195576	-8.10077464	142.559814	0	0	0	0	0	3
8	4	0	0.103724097	-8.60476903	-33.1318876	-179.195576	-8.10077464	146.063688	0	0	0	0	0	3
9	5	0	0.116689609	-9.45141607	-30.5007241	-179.195576	-8.10077464	148.694852	0	0	0	0	0	3
10	5	0	0.129655121	-8.59746353	-28.3103981	-179.195576	-8.10077464	150.885178	0	0	0	0	0	3
11	6	0	0.142620633	-9.53718461	-26.6037423	-179.195576	-8.10077464	152.591834	0	0	0	0	0	3
12	6	0	0.155586145	-8.59326785	-25.1028694	-179.195576	-8.10077464	154.092706	0	0	0	0	0	3
13	6	0	0.168551657	-9.48400543	-23.9014183	-179.195576	-8.10077464	155.294158	0	0	0	0	0	3
14	7	0	0.181517169	-8.78435135	-22.8216278	-179.195576	-8.10077464	156.373948	0	0	0	0	0	3
15	7	0	0.194482681	-9.37534605	-21.9252091	-179.195576	-8.10077464	157.270367	0	0	0	0	0	3
16	7	0	0.207448193	-8.91998587	-21.1123826	-179.195576	-8.10077464	158.083193	0	0	0	0	0	3
17	8	0	0.220413705	-9.23901347	-20.4139491	-179.195576	-8.10077464	158.781627	0	0	0	0	0	3
18	8	0	0.233379218	-8.99824164	-19.7797432	-179.195576	-8.10077464	159.415833	0	0	0	0	0	3
19	9	0	0.24634473	-9.0476062	-19.2148938	-179.195576	-8.10077464	159.980682	0	0	0	0	0	3
20	9	0	0.259310242	-8.91129924	-18.6997141	-179.195576	-8.10077464	160.495862	0	0	0	0	0	3
21	9	0	0.272275754	-8.8714965	-18.2317038	-179.195576	-8.10077464	160.963872	0	0	0	0	0	3
22	10	0	0.285241266	-8.69138198	-17.7980528	-179.195576	-8.10077464	161.397523	0	0	0	0	0	3
23	10	0	0.298206778	-8.5753127	-17.3970641	-179.195576	-8.10077464	161.798512	0	0	0	0	0	3
24	10	0	0.31117229	-8.49926045	-17.0263222	-179.195576	-8.10077464	162.169254	0	0	0	0	0	3
25	11	0	0.324137802	-8.36810227	-16.6799934	-179.195576	-8.10077464	162.515582	0	0	0	0	0	3
