Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0129655121	-185.297107	-185.297107	-185.297107	-185.297107	0	0	0	0	0	0	3
2	2	0	0.0259310242	-25.6668334	-105.48197	-185.297107	-25.6668334	79.8151369	0	0	0	0	0	3
3	3	0	0.0388965363	-8.33287198	-73.0989375	-185.297107	-8.33287198	112.19817	0	0	0	0	0	3
4	3	0	0.0518620483	-5.57243597	-56.2173121	-185.297107	-5.57243597	129.079795	0	0	0	0	0	3
5	3	0	0.0648275604	-6.20764999	-46.2153797	-185.297107	-5.57243597	139.081727	0	0	0	0	0	3
6	4	0	0.0777930725	-5.77941933	-39.476053	-185.297107	-5.57243597	145.821054	0	0	0	0	0	3
7	4	0	0.0907585846	-6.33631329	-34.7418045	-185.297107	-5.57243597	150.555303	0	0	0	0	0	3
8	4	0	0.103724097	-6.03657257	-31.1536505	-185.297107	-5.57243597	154.143457	0	0	0	0	0	3
9	5	0	0.116689609	-6.42116698	-28.4055967	-185.297107	-5.57243597	156.89151	0	0	0	0	0	3
10	5	0	0.129655121	-6.08787546	-26.1738246	-185.297107	-5.57243597	159.123283	0	0	0	0	0	3
11	6	0	0.142620633	-6.34030429	-24.3707773	-185.297107	-5.57243597	160.92633	0	0	0	0	0	3
12	6	0	0.155586145	-6.14795521	-22.8522088	-185.297107	-5.57243597	162.444898	0	0	0	0	0	3
13	6	0	0.168551657	-6.29366264	-21.5784745	-185.297107	-5.57243597	163.718633	0	0	0	0	0	3
14	7	0	0.181517169	-6.19522134	-20.4796707	-185.297107	-5.57243597	164.817436	0	0	0	0	0	3
15	7	0	0.194482681	-6.25355721	-19.5312631	-185.297107	-5.57243597	165.765844	0	0	0	0	0	3
16	7	0	0.207448193	-6.2249107	-18.6996161	-185.297107	-5.57243597	166.597491	0	0	0	0	0	3
17	8	0	0.220413705	-6.22065383	-17.9655595	-185.297107	-5.57243597	167.331548	0	0	0	0	0	3
18	8	0	0.233379218	-6.19786042	-17.3117984	-185.297107	-5.57243597	167.985309	0	0	0	0	0	3
19	9	0	0.24634473	-6.16867391	-16.7253182	-185.297107	-5.57243597	168.571789	0	0	0	0	0	3
20	9	0	0.259310242	-6.15106629	-16.1966056	-185.297107	-5.57243597	169.100502	0	0	0	0	0	3
21	9	0	0.272275754	-6.10821056	-15.7162058	-185.297107	-5.57243597	169.580901	0	0	0	0	0	3
22	10	0	0.285241266	-6.0580106	-15.277197	-185.297107	-5.57243597	170.01991	0	0	0	0	0	3
23	10	0	0.298206778	-5.98866146	-14.8733476	-185.297107	-5.57243597	170.42376	0	0	0	0	0	3
24	10	0	0.31117229	-5.97184343	-14.5024516	-185.297107	-5.57243597	170.794656	0	0	0	0	0	3
