Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0129655121	257.771389	257.771389	257.771389	257.771389	0	0	0	0	0	0	3
2	2	0	0.0259310242	42.0038957	149.887642	42.0038957	257.771389	107.883747	0	0	0	0	0	3
3	3	0	0.0388965363	13.4950022	104.423429	13.4950022	257.771389	153.34796	0	0	0	0	0	3
4	3	0	0.0518620483	9.99893852	80.8173064	9.99893852	257.771389	176.954083	0	0	0	0	0	3
5	3	0	0.0648275604	10.2460989	66.7030649	9.99893852	257.771389	191.068324	0	0	0	0	0	3
6	4	0	0.0777930725	9.96057629	57.2459835	9.96057629	257.771389	200.525406	0	0	0	0	0	3
7	4	0	0.0907585846	10.9318972	50.6296854	9.96057629	257.771389	207.141704	0	0	0	0	0	3
8	4	0	0.103724097	10.5177299	45.615691	9.96057629	257.771389	212.155698	0	0	0	0	0	3
9	5	0	0.116689609	11.430833	41.8173734	9.96057629	257.771389	215.954016	0	0	0	0	0	3
10	5	0	0.129655121	10.5381626	38.6894524	9.96057629	257.771389	219.081937	0	0	0	0	0	3
11	6	0	0.142620633	11.4553858	36.2136281	9.96057629	257.771389	221.557761	0	0	0	0	0	3
12	6	0	0.155586145	10.5689637	34.0765727	9.96057629	257.771389	223.694817	0	0	0	0	0	3
13	6	0	0.168551657	11.385762	32.3311258	9.96057629	257.771389	225.440264	0	0	0	0	0	3
14	7	0	0.181517169	10.7532384	30.7898481	9.96057629	257.771389	226.981541	0	0	0	0	0	3
15	7	0	0.194482681	11.2728045	29.4887119	9.96057629	257.771389	228.282677	0	0	0	0	0	3
16	7	0	0.207448193	10.8791875	28.3256166	9.96057629	257.771389	229.445773	0	0	0	0	0	3
17	8	0	0.220413705	11.1396957	27.3146801	9.96057629	257.771389	230.456709	0	0	0	0	0	3
18	8	0	0.233379218	10.9275112	26.4042818	9.96057629	257.771389	231.367107	0	0	0	0	0	3
19	9	0	0.24634473	10.9520549	25.5910067	9.96057629	257.771389	232.180383	0	0	0	0	0	3
20	9	0	0.259310242	10.8291731	24.852915	9.96057629	257.771389	232.918474	0	0	0	0	0	3
21	9	0	0.272275754	10.7722737	24.1824083	9.96057629	257.771389	233.588981	0	0	0	0	0	3
22	10	0	0.285241266	10.5949447	23.5647963	9.96057629	257.771389	234.206593	0	0	0	0	0	3
23	10	0	0.298206778	10.4601126	22.9950275	9.96057629	257.771389	234.776362	0	0	0	0	0	3
24	10	0	0.31117229	10.3877557	22.4697245	9.96057629	257.771389	235.301665	0	0	0	0	0	3
25	11	0	0.324137802	10.2536667	21.9810822	9.96057629	257.771389	235.790307	0	0	0	0	0	3
26	11	0	0.337103314	10.2566221	21.5301414	9.96057629	257.771389	236.241248	0	0	0	0	0	3
27	12	0	0.350068826	10.1235058	21.1076734	9.96057629	257.771389	236.663716	0	0	0	0	0	3
28	12	0	0.363034338	10.0224334	20.711772	9.96057629	257.771389	237.059617	0	0	0	0	0	3
29	12	0	0.37599985	9.87627102	20.338134	9.87627102	257.771389	237.433255	0	0	0	0	0	3
30	13	0	0.388965363	9.76592616	19.9857271	9.76592616	257.771389	237.785662	0	0	0	0	0	3
31	13	0	0.401930875	9.67240194	19.6530392	9.67240194	257.771389	238.11835	0	0	0	0	0	3
32	13	0	0.414896387	9.59900655	19.3388507	9.59900655	257.771389	238.432539	0	0	0	0	0	3
33	14	0	0.427861899	9.47100451	19.039825	9.47100451	257.771389	238.731564	0	0	0	0	0	3
34	14	0	0.440827411	9.4185481	18.7568463	9.4185481	257.771389	239.014543	0	0	0	0	0	3
35	15	0	0.453792923	9.31373021	18.487043	9.31373021	257.771389	239.284346	0	0	0	0	0	3
36	15	0	0.466758435	9.30155884	18.2318906	9.30155884	257.771389	239.539499	0	0	0	0	0	3
37	15	0	0.479723947	9.23802262	17.9888131	9.23802262	257.771389	239.782576	0	0	0	0	0	3
38	16	0	0.492689459	9.22639636	17.7582232	9.22639636	257.771389	240.013166	0	0	0	0	0	3
39	16	0	0.505654971	9.18046526	17.5382807	9.18046526	257.771389	240.233109	0	0	0	0	0	3
