Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0129655121	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0259310242	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0388965363	0	0	0	0	0	0	0	0	0	0	3
4	3	0	0.0518620483	0	0	0	0	0	0	0	0	0	0	3
5	3	0	0.0648275604	0	0	0	0	0	0	0	0	0	0	3
6	4	0	0.0777930725	0	0	0	0	0	0	0	0	0	0	3
7	4	0	0.0907585846	0	0	0	0	0	0	0	0	0	0	3
8	4	0	0.103724097	0	0	0	0	0	0	0	0	0	0	3
9	5	0	0.116689609	0	0	0	0	0	0	0	0	0	0	3
10	5	0	0.129655121	0	0	0	0	0	0	0	0	0	0	3
11	6	0	0.142620633	0	0	0	0	0	0	0	0	0	0	3
12	6	0	0.155586145	0	0	0	0	0	0	0	0	0	0	3
13	6	0	0.168551657	0	0	0	0	0	0	0	0	0	0	3
14	7	0	0.181517169	0	0	0	0	0	0	0	0	0	0	3
15	7	0	0.194482681	0	0	0	0	0	0	0	0	0	0	3
16	7	0	0.207448193	0	0	0	0	0	0	0	0	0	0	3
17	8	0	0.220413705	0	0	0	0	0	0	0	0	0	0	3
18	8	0	0.233379218	0	0	0	0	0	0	0	0	0	0	3
19	9	0	0.24634473	0	0	0	0	0	0	0	0	0	0	3
20	9	0	0.259310242	0	0	0	0	0	0	0	0	0	0	3
21	9	0	0.272275754	0	0	0	0	0	0	0	0	0	0	3
22	10	0	0.285241266	0	0	0	0	0	0	0	0	0	0	3
23	10	0	0.298206778	0	0	0	0	0	0	0	0	0	0	3
24	10	0	0.31117229	0	0	0	0	0	0	0	0	0	0	3
25	11	0	0.324137802	0	0	0	0	0	0	0	0	0	0	3
26	11	0	0.337103314	0	0	0	0	0	0	0	0	0	0	3
27	12	0	0.350068826	0	0	0	0	0	0	0	0	0	0	3
28	12	0	0.363034338	0	0	0	0	0	0	0	0	0	0	3
29	12	0	0.37599985	0	0	0	0	0	0	0	0	0	0	3
30	13	0	0.388965363	0	0	0	0	0	0	0	0	0	0	3
31	13	0	0.401930875	0	0	0	0	0	0	0	0	0	0	3
32	13	0	0.414896387	0	0	0	0	0	0	0	0	0	0	3
33	14	0	0.427861899	0	0	0	0	0	0	0	0	0	0	3
34	14	0	0.440827411	0	0	0	0	0	0	0	0	0	0	3
35	15	0	0.453792923	0	0	0	0	0	0	0	0	0	0	3
36	15	0	0.466758435	0	0	0	0	0	0	0	0	0	0	3
37	15	0	0.479723947	0	0	0	0	0	0	0	0	0	0	3
38	16	0	0.492689459	0	0	0	0	0	0	0	0	0	0	3
39	16	0	0.505654971	0	0	0	0	0	0	0	0	0	0	3
40	17	0	0.518620483	0	0	0	0	0	0	0	0	0	0	3
41	17	0	0.531585995	0	0	0	0	0	0	0	0	0	0	3
42	17	0	0.544551508	0	0	0	0	0	0	0	0	0	0	3
43	18	0	0.55751702	0	0	0	0	0	0	0	0	0	0	3
44	18	0	0.570482532	0	0	0	0	0	0	0	0	0	0	3
45	19	0	0.583448044	0	0	0	0	0	0	0	0	0	0	3
46	19	0	0.596413556	0	0	0	0	0	0	0	0	0	0	3
47	19	0	0.609379068	0	0	0	0	0	0	0	0	0	0	3
48	20	0	0.62234458	0	0	0	0	0	0	0	0	0	0	3
49	20	0	0.635310092	0	0	0	0	0	0	0	0	0	0	3
50	20	0	0.648275604	0	0	0	0	0	0	0	0	0	0	3
51	21	0	0.661241116	0	0	0	0	0	0	0	0	0	0	3
52	21	0	0.674206628	0	0	0	0	0	0	0	0	0	0	3
53	22	0	0.68717214	0	0	0	0	0	0	0	0	0	0	3
54	22	0	0.700137653	0	0	0	0	0	0	0	0	0	0	3
55	22	0	0.713103165	0	0	0	0	0	0	0	0	0	0	3
56	23	0	0.726068677	0	0	0	0	0	0	0	0	0	0	3
57	23	0	0.739034189	0	0	0	0	0	0	0	0	0	0	3
58	23	0	0.751999701	0	0	0	0	0	0	0	0	0	0	3
59	24	0	0.764965213	0	0	0	0	0	0	0	0	0	0	3
