Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0129655121	101326.741	101326.741	101326.741	101326.741	0	0	0	0	0	0	3
2	2	0	0.0259310242	101324.566	101325.653	101324.566	101326.741	1.08736133	0	0	0	0	0	3
3	3	0	0.0388965363	101324.684	101325.33	101324.566	101326.741	1.41046088	0	0	0	0	0	3
4	3	0	0.0518620483	101324.617	101325.152	101324.566	101326.741	1.58880484	0	0	0	0	0	3
5	3	0	0.0648275604	101324.672	101325.056	101324.566	101326.741	1.68478817	0	0	0	0	0	3
6	4	0	0.0777930725	101324.628	101324.985	101324.566	101326.741	1.75615313	0	0	0	0	0	3
7	4	0	0.0907585846	101324.707	101324.945	101324.566	101326.741	1.79574679	0	0	0	0	0	3
8	4	0	0.103724097	101324.662	101324.91	101324.566	101326.741	1.83114849	0	0	0	0	0	3
9	5	0	0.116689609	101324.717	101324.888	101324.566	101326.741	1.85259139	0	0	0	0	0	3
10	5	0	0.129655121	101324.65	101324.864	101324.566	101326.741	1.87640974	0	0	0	0	0	3
11	6	0	0.142620633	101324.701	101324.849	101324.566	101326.741	1.89124025	0	0	0	0	0	3
12	6	0	0.155586145	101324.637	101324.832	101324.566	101326.741	1.90891179	0	0	0	0	0	3
13	6	0	0.168551657	101324.67	101324.819	101324.566	101326.741	1.92133621	0	0	0	0	0	3
14	7	0	0.181517169	101324.614	101324.805	101324.566	101326.741	1.93602015	0	0	0	0	0	3
15	7	0	0.194482681	101324.64	101324.794	101324.566	101326.741	1.94703182	0	0	0	0	0	3
16	7	0	0.207448193	101324.593	101324.781	101324.566	101326.741	1.95956871	0	0	0	0	0	3
17	8	0	0.220413705	101324.598	101324.77	101324.566	101326.741	1.9703165	0	0	0	0	0	3
18	8	0	0.233379218	101324.556	101324.759	101324.556	101326.741	1.98221168	0	0	0	0	0	3
19	9	0	0.24634473	101324.555	101324.748	101324.555	101326.741	1.99290632	0	0	0	0	0	3
20	9	0	0.259310242	101324.516	101324.736	101324.516	101326.741	2.00450158	0	0	0	0	0	3
21	9	0	0.272275754	101324.515	101324.726	101324.515	101326.741	2.0150598	0	0	0	0	0	3
22	10	0	0.285241266	101324.469	101324.714	101324.469	101326.741	2.02674717	0	0	0	0	0	3
23	10	0	0.298206778	101324.447	101324.702	101324.447	101326.741	2.03836889	0	0	0	0	0	3
24	10	0	0.31117229	101324.414	101324.69	101324.414	101326.741	2.05038991	0	0	0	0	0	3
25	11	0	0.324137802	101324.397	101324.679	101324.397	101326.741	2.06210652	0	0	0	0	0	3
26	11	0	0.337103314	101324.375	101324.667	101324.375	101326.741	2.07377106	0	0	0	0	0	3
27	12	0	0.350068826	101324.362	101324.656	101324.362	101326.741	2.08508193	0	0	0	0	0	3
