Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0129655121	293.200057	293.200057	293.200057	293.200057	0	0	0	0	0	0	3
2	2	0	0.0259310242	293.200053	293.200055	293.200053	293.200057	1.90367587e-06	0	0	0	0	0	3
3	3	0	0.0388965363	293.200063	293.200058	293.200053	293.200063	2.67866045e-06	0	0	0	0	0	3
4	3	0	0.0518620483	293.200067	293.20006	293.200053	293.200067	5.04095738e-06	0	0	0	0	0	3
5	3	0	0.0648275604	293.200071	293.200062	293.200053	293.200071	7.15807192e-06	0	0	0	0	0	3
6	4	0	0.0777930725	293.200073	293.200064	293.200053	293.200073	9.0149594e-06	0	0	0	0	0	3
7	4	0	0.0907585846	293.200075	293.200066	293.200053	293.200075	1.0624258e-05	0	0	0	0	0	3
8	4	0	0.103724097	293.200076	293.200067	293.200053	293.200076	1.18839067e-05	0	0	0	0	0	3
9	5	0	0.116689609	293.200076	293.200068	293.200053	293.200076	1.29468779e-05	0	0	0	0	0	3
10	5	0	0.129655121	293.200076	293.200069	293.200053	293.200076	1.37897205e-05	0	0	0	0	0	3
11	6	0	0.142620633	293.200078	293.20007	293.200053	293.200078	1.46662932e-05	0	0	0	0	0	3
12	6	0	0.155586145	293.20008	293.200071	293.200053	293.20008	1.55575984e-05	0	0	0	0	0	3
13	6	0	0.168551657	293.200083	293.200072	293.200053	293.200083	1.65269518e-05	0	0	0	0	0	3
14	7	0	0.181517169	293.200086	293.200073	293.200053	293.200086	1.75421364e-05	0	0	0	0	0	3
15	7	0	0.194482681	293.200089	293.200074	293.200053	293.200089	1.86257591e-05	0	0	0	0	0	3
16	7	0	0.207448193	293.20009	293.200075	293.200053	293.20009	1.96788282e-05	0	0	0	0	0	3
17	8	0	0.220413705	293.200091	293.200076	293.200053	293.200091	2.06659678e-05	0	0	0	0	0	3
18	8	0	0.233379218	293.20009	293.200076	293.200053	293.200091	2.14793475e-05	0	0	0	0	0	3
19	9	0	0.24634473	293.200087	293.200077	293.200053	293.200091	2.20407203e-05	0	0	0	0	0	3
20	9	0	0.259310242	293.200081	293.200077	293.200053	293.200091	2.22358996e-05	0	0	0	0	0	3
21	9	0	0.272275754	293.200067	293.200077	293.200053	293.200091	2.22358996e-05	0	0	0	0	0	3
22	10	0	0.285241266	293.200046	293.200075	293.200046	293.200091	2.22358996e-05	0	0	0	0	0	3
23	10	0	0.298206778	293.200019	293.200073	293.200019	293.200091	2.22358996e-05	0	0	0	0	0	3
24	10	0	0.31117229	293.199984	293.200069	293.199984	293.200091	2.22358996e-05	0	0	0	0	0	3
25	11	0	0.324137802	293.199944	293.200064	293.199944	293.200091	2.22358996e-05	0	0	0	0	0	3
26	11	0	0.337103314	293.199874	293.200057	293.199874	293.200091	2.22358996e-05	0	0	0	0	0	3
27	12	0	0.350068826	293.199798	293.200047	293.199798	293.200091	2.99152382e-05	0	0	0	0	0	3
28	12	0	0.363034338	293.199717	293.200036	293.199717	293.200091	4.17017923e-05	0	0	0	0	0	3
29	12	0	0.37599985	293.199635	293.200022	293.199635	293.200091	5.54970831e-05	0	0	0	0	0	3
30	13	0	0.388965363	293.199555	293.200006	293.199555	293.200091	7.10437712e-05	0	0	0	0	0	3
31	13	0	0.401930875	293.199447	293.199988	293.199447	293.200091	8.90706867e-05	0	0	0	0	0	3
32	13	0	0.414896387	293.199359	293.199968	293.199359	293.200091	0.000108740038	0	0	0	0	0	3
33	14	0	0.427861899	293.199293	293.199948	293.199293	293.200091	0.000129197754	0	0	0	0	0	3
34	14	0	0.440827411	293.199252	293.199928	293.199252	293.200091	0.000149679507	0	0	0	0	0	3
35	15	0	0.453792923	293.19923	293.199908	293.19923	293.200091	0.0001696029	0	0	0	0	0	3
36	15	0	0.466758435	293.199226	293.199889	293.199226	293.200091	0.000188541402	0	0	0	0	0	3
37	15	0	0.479723947	293.199239	293.199871	293.199226	293.200091	0.000206111551	0	0	0	0	0	3
38	16	0	0.492689459	293.199258	293.199855	293.199226	293.200091	0.000222236311	0	0	0	0	0	3
39	16	0	0.505654971	293.199279	293.19984	293.199226	293.200091	0.000237000326	0	0	0	0	0	3
40	17	0	0.518620483	293.199297	293.199821	293.199226	293.200091	0.000256477197	0	0	0	0	0	3
41	17	0	0.531585995	293.199318	293.199802	293.199226	293.200091	0.000275330934	0	0	0	0	0	3
42	17	0	0.544551508	293.199331	293.199783	293.199226	293.200091	0.000294105424	0	0	0	0	0	3
43	18	0	0.55751702	293.199339	293.199764	293.199226	293.200091	0.000312764575	0	0	0	0	0	3
44	18	0	0.570482532	293.199345	293.199746	293.199226	293.200091	0.000331373843	0	0	0	0	0	3
45	19	0	0.583448044	293.199349	293.199727	293.199226	293.200091	0.000349941452	0	0	0	0	0	3
46	19	0	0.596413556	293.199354	293.199709	293.199226	293.200091	0.000368430858	0	0	0	0	0	3
47	19	0	0.609379068	293.199358	293.19969	293.199226	293.200091	0.000386827634	0	0	0	0	0	3
48	20	0	0.62234458	293.199361	293.199672	293.199226	293.200091	0.000405181268	0	0	0	0	0	3
49	20	0	0.635310092	293.199363	293.199654	293.199226	293.200091	0.000423462995	0	0	0	0	0	3
50	20	0	0.648275604	293.199365	293.199635	293.199226	293.200091	0.000441754706	0	0	0	0	0	3
51	21	0	0.661241116	293.199368	293.199617	293.199226	293.200091	0.000460028106	0	0	0	0	0	3
52	21	0	0.674206628	293.19937	293.199599	293.199226	293.200091	0.000478326373	0	0	0	0	0	3
53	22	0	0.68717214	293.199372	293.199581	293.199226	293.200091	0.000496627025	0	0	0	0	0	3
54	22	0	0.700137653	293.199374	293.199562	293.199226	293.200091	0.000514951994	0	0	0	0	0	3
55	22	0	0.713103165	293.199377	293.199544	293.199226	293.200091	0.000533255659	0	0	0	0	0	3
56	23	0	0.726068677	293.199374	293.199526	293.199226	293.20009	0.000551658441	0	0	0	0	0	3
57	23	0	0.739034189	293.199373	293.199507	293.199226	293.200087	0.000570047342	0	0	0	0	0	3
58	23	0	0.751999701	293.199373	293.199489	293.199226	293.200081	0.000588347938	0	0	0	0	0	3
59	24	0	0.764965213	293.199374	293.199471	293.199226	293.200067	0.000605975708	0	0	0	0	0	3
60	24	0	0.777930725	293.199376	293.199453	293.199226	293.200046	0.000622296713	0	0	0	0	0	3
61	24	0	0.790896237	293.199378	293.199436	293.199226	293.200019	0.000636953023	0	0	0	0	0	3
62	25	0	0.803861749	293.199379	293.19942	293.199226	293.199984	0.00064966671	0	0	0	0	0	3
63	25	0	0.816827261	293.19938	293.199404	293.199226	293.199944	0.000660182365	0	0	0	0	0	3
64	25	0	0.829792773	293.199379	293.19939	293.199226	293.199874	0.000648655364	0	0	0	0	0	3
65	26	0	0.842758286	293.199379	293.199377	293.199226	293.199798	0.000572166118	0	0	0	0	0	3
66	26	0	0.855723798	293.199379	293.199366	293.199226	293.199717	0.00049145024	0	0	0	0	0	3
67	27	0	0.86868931	293.199379	293.199357	293.199226	293.199635	0.000409623769	0	0	0	0	0	3
68	27	0	0.881654822	293.199378	293.199351	293.199226	293.199555	0.000329491267	0	0	0	0	0	3
69	27	0	0.894620334	293.199378	293.199346	293.199226	293.199447	0.000221510842	0	0	0	0	0	3
70	28	0	0.907585846	293.199377	293.199344	293.199226	293.19938	0.000153967647	0	0	0	0	0	3
71	28	0	0.920551358	293.199379	293.199345	293.199226	293.19938	0.000153967647	0	0	0	0	0	3
72	28	0	0.93351687	293.19938	293.199347	293.199226	293.19938	0.000153976107	0	0	0	0	0	3
73	29	0	0.946482382	293.199381	293.19935	293.199226	293.199381	0.000155122016	0	0	0	0	0	3
74	29	0	0.959447894	293.199382	293.199354	293.199226	293.199382	0.00015600702	0	0	0	0	0	3
75	29	0	0.972413406	293.199383	293.199358	293.199239	293.199383	0.000144565389	0	0	0	0	0	3
76	30	0	0.985378918	293.199384	293.199362	293.199258	293.199384	0.000125618636	0	0	0	0	0	3
77	30	0	0.998344431	293.199385	293.199365	293.199279	293.199385	0.000106144024	0	0	0	0	0	3
78	31	0	1.01130994	293.199386	293.199368	293.199297	293.199386	8.88338539e-05	2.59683989e-05	0	0	0	0	3
79	31	0	1.02427545	293.199387	293.19937	293.199318	293.199387	6.90773344e-05	2.59683989e-05	0	0	0	0	3
80	31	0	1.03724097	293.199385	293.199372	293.199331	293.199387	5.60470163e-05	2.59683989e-05	0	0	0	0	3
81	32	0	1.05020648	293.199383	293.199374	293.199339	293.199387	4.74569351e-05	2.59683989e-05	0	0	0	0	3
82	32	0	1.06317199	293.199381	293.199375	293.199345	293.199387	4.20128421e-05	2.59683989e-05	0	0	0	0	3
83	32	0	1.0761375	293.199381	293.199376	293.199349	293.199387	3.77152709e-05	2.59683989e-05	0	0	0	0	3
84	33	0	1.08910302	293.199381	293.199376	293.199354	293.199387	3.26846694e-05	2.59683989e-05	0	0	0	0	3
85	33	0	1.10206853	293.199383	293.199377	293.199358	293.199387	2.86507176e-05	2.59683989e-05	0	0	0	0	3
86	34	0	1.11503404	293.199385	293.199378	293.199361	293.199387	2.62189962e-05	2.59683989e-05	0	0	0	0	3
87	34	0	1.12799955	293.199386	293.199378	293.199363	293.199387	2.34899651e-05	2.59683989e-05	0	0	0	0	3
88	34	0	1.14096506	293.199385	293.199379	293.199365	293.199387	2.18226003e-05	2.59683989e-05	0	0	0	0	3
89	35	0	1.15393058	293.199386	293.199379	293.199368	293.199387	1.91785523e-05	2.59683989e-05	0	0	0	0	3
90	35	0	1.16689609	293.199384	293.19938	293.19937	293.199387	1.73511021e-05	2.59683989e-05	0	0	0	0	3
91	36	0	1.1798616	293.199382	293.19938	293.199372	293.199387	1.48638205e-05	2.59683989e-05	0	0	0	0	3
92	36	0	1.19282711	293.199382	293.19938	293.199373	293.199387	1.37382216e-05	2.59683989e-05	0	0	0	0	3
93	37	0	1.20579262	293.199382	293.199381	293.199373	293.199387	1.37382216e-05	2.59683989e-05	0	0	0	0	3
94	37	0	1.21875814	293.199382	293.199381	293.199373	293.199387	1.37382216e-05	2.59683989e-05	0	0	0	0	3
95	37	0	1.23172365	293.199382	293.199381	293.199373	293.199387	1.37382216e-05	2.59683989e-05	0	0	0	0	3
96	38	0	1.24468916	293.199381	293.199381	293.199373	293.199387	1.34557458e-05	2.59683989e-05	0	0	0	0	3
97	38	0	1.25765467	293.199381	293.199381	293.199374	293.199387	1.2439667e-05	2.59683989e-05	0	0	0	0	3
98	39	0	1.27062018	293.199381	293.199382	293.199376	293.199387	1.12519509e-05	2.59683989e-05	0	0	0	0	3
99	39	0	1.2835857	293.199381	293.199382	293.199377	293.199387	9.67098464e-06	2.59683989e-05	0	0	0	0	3
100	39	0	1.29655121	293.199381	293.199382	293.199377	293.199387	9.67098464e-06	2.59683989e-05	0	0	0	0	3
101	40	0	1.30951672	293.199381	293.199382	293.199377	293.199387	9.67098464e-06	2.59683989e-05	0	0	0	0	3
102	41	0	1.32248223	293.199379	293.199382	293.199377	293.199387	9.67098464e-06	2.59683989e-05	0	0	0	0	3
103	41	0	1.33544774	293.199378	293.199382	293.199377	293.199387	9.67098464e-06	2.59683989e-05	0	0	0	0	3
104	41	0	1.34841326	293.199379	293.199382	293.199377	293.199387	9.67098464e-06	2.59683989e-05	0	0	0	0	3
105	42	0	1.36137877	293.19938	293.199382	293.199377	293.199387	9.67098464e-06	2.59683989e-05	0	0	0	0	3
106	42	0	1.37434428	293.199378	293.199382	293.199377	293.199387	9.67098464e-06	2.59683989e-05	0	0	0	0	3
107	43	0	1.38730979	293.199378	293.199382	293.199377	293.199387	9.67098464e-06	2.59683989e-05	0	0	0	0	3
108	43	0	1.40027531	293.199376	293.199382	293.199376	293.199387	1.04711252e-05	2.59683989e-05	0	0	0	0	3
109	43	0	1.41324082	293.199376	293.199382	293.199376	293.199387	1.10824822e-05	2.59683989e-05	0	0	0	0	3
110	44	0	1.42620633	293.199375	293.199382	293.199375	293.199387	1.14154707e-05	2.59683989e-05	0	0	0	0	3
111	44	0	1.43917184	293.199375	293.199382	293.199375	293.199387	1.14154707e-05	2.59683989e-05	0	0	0	0	3
112	45	0	1.45213735	293.199376	293.199381	293.199375	293.199387	1.14154707e-05	2.59683989e-05	0	0	0	0	3
113	45	0	1.46510287	293.199376	293.199381	293.199375	293.199387	1.14154707e-05	2.59683989e-05	0	0	0	0	3
